============= Dilithium-I
[0m[1;31m     LWE instance generation    [0m
n=1024	m=1024	q=8380417
dim = 2049, m = 1024, dvol = 15614.21931724470, β = 423.4283

Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.001
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 50, gap = 1, J = 100, J_gap = 3, cost_model = 1, max_loop = 1, threads = 4, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = True, worst_case = 0, Find minimal time cost strategy, average_case, theo_pnjbkz_d4f = 2, theo_pump_d4f = 2.
 
 index:        2, (  50,   4): (  50,   1) --> (1499,   1), goal index:      662, cost =
 index:        3, (  52,   4): (  52,   1) --> (1499,   1), goal index:      667, cost =
 index:        4, (  54,   4): (  54,   1) --> (1499,   1), goal index:      676, cost =
 index:        5, (  56,   4): (  56,   1) --> (1499,   1), goal index:      678, cost =
 index:        6, (  52,   4): (  52,   1) --> (1499,   1), goal index:      680, cost =
 index:        7, (  54,   4): (  54,   1) --> (1499,   1), goal index:      675, cost =
 index:        8, (  54,   4): (  54,   1) --> (1499,   1), goal index:      683, cost =
 index:        9, (  56,   4): (  56,   1) --> (1499,   1), goal index:      685, cost =
 index:       10, (  56,   4): (  56,   1) --> (1499,   1), goal index:      697, cost =
 index:      100, (  72,   7): (  72,   4) --> (1499,   1), goal index:      766, cost =
 index:      101, (  71,   7): (  71,   4) --> (1499,   1), goal index:      769, cost =
 index:      102, (  70,   4): (  70,   1) --> (1499,   1), goal index:      780, cost =
 index:      103, (  71,   4): (  71,   1) --> (1499,   1), goal index:      769, cost =
 index:      104, (  72,   7): (  72,   4) --> (1499,   1), goal index:      781, cost =
 index:      105, (  72,   7): (  72,   4) --> (1499,   1), goal index:      784, cost =
 index:      106, (  71,   4): (  71,   1) --> (1499,   1), goal index:      777, cost =
 index:      107, (  72,   7): (  72,   4) --> (1499,   1), goal index:      786, cost =
 index:      108, (  72,   7): (  72,   4) --> (1499,   1), goal index:      787, cost =
 index:      109, (  71,   7): (  71,   4) --> (1499,   1), goal index:      774, cost =
 index:      110, (  72,   7): (  72,   4) --> (1499,   1), goal index:      775, cost =
 index:      111, (  73,   7): (  73,   4) --> (1499,   1), goal index:      778, cost =
 index:      112, (  72,   7): (  72,   4) --> (1499,   1), goal index:      788, cost =
 index:      113, (  71,   4): (  71,   1) --> (1499,   1), goal index:      800, cost =
 index:      114, (  71,   4): (  71,   1) --> (1499,   1), goal index:      803, cost =
 index:      115, (  72,   4): (  72,   1) --> (1499,   1), goal index:      783, cost =
 index:      116, (  72,   7): (  72,   4) --> (1499,   1), goal index:      795, cost =
 index:      117, (  73,   7): (  73,   4) --> (1499,   1), goal index:      784, cost =
 index:      118, (  73,   7): (  73,   4) --> (1499,   1), goal index:      796, cost =
 index:      119, (  71,   4): (  71,   1) --> (1499,   1), goal index:      788, cost =
 index:      120, (  72,   7): (  72,   4) --> (1499,   1), goal index:      788, cost =
 index:      121, (  73,   7): (  73,   4) --> (1499,   1), goal index:      790, cost =
 index:      122, (  72,   4): (  72,   1) --> (1499,   1), goal index:      800, cost =
 index:      123, (  74,   7): (  74,   4) --> (1499,   1), goal index:      812, cost =
 index:      124, (  73,   7): (  73,   4) --> (1499,   1), goal index:      814, cost =
 index:      125, (  72,   4): (  72,   1) --> (1499,   1), goal index:      826, cost =
 index:      126, (  73,   7): (  73,   4) --> (1499,   1), goal index:      834, cost =
 index:      127, (  72,   7): (  72,   4) --> (1499,   1), goal index:      793, cost =
 index:      128, (  73,   7): (  73,   4) --> (1499,   1), goal index:      794, cost =
 index:      129, (  72,   4): (  72,   1) --> (1499,   1), goal index:      807, cost =
 index:      130, (  73,   7): (  73,   4) --> (1499,   1), goal index:      819, cost =
 index:      131, (  74,   7): (  74,   4) --> (1499,   1), goal index:      801, cost =
 index:      132, (  73,   7): (  73,   4) --> (1499,   1), goal index:      810, cost =
 index:      133, (  72,   4): (  72,   1) --> (1499,   1), goal index:      822, cost =
 index:      134, (  72,   4): (  72,   1) --> (1499,   1), goal index:      804, cost =
 index:      135, (  73,   7): (  73,   4) --> (1499,   1), goal index:      806, cost =
 index:      136, (  74,   7): (  74,   4) --> (1499,   1), goal index:      803, cost =
 index:      137, (  73,   7): (  73,   4) --> (1499,   1), goal index:      815, cost =
 index:      138, (  74,   7): (  74,   4) --> (1499,   1), goal index:      827, cost =
 index:      139, (  72,   4): (  72,   1) --> (1499,   1), goal index:      829, cost =
 index:      140, (  73,   7): (  73,   4) --> (1499,   1), goal index:      808, cost =
 index:      141, (  73,   4): (  73,   1) --> (1499,   1), goal index:      821, cost =
 index:      142, (  73,   7): (  73,   4) --> (1499,   1), goal index:      833, cost =
 index:      143, (  74,   7): (  74,   4) --> (1499,   1), goal index:      812, cost =
 index:      144, (  73,   4): (  73,   1) --> (1499,   1), goal index:      823, cost =
 index:      145, (  74,   7): (  74,   4) --> (1499,   1), goal index:      833, cost =
 index:      146, (  73,   7): (  73,   4) --> (1499,   1), goal index:      814, cost =
 index:      147, (  74,   7): (  74,   4) --> (1499,   1), goal index:      815, cost =
 index:      148, (  73,   4): (  73,   1) --> (1499,   1), goal index:      828, cost =
 index:      149, (  74,   7): (  74,   4) --> (1499,   1), goal index:      840, cost =
 index:      150, (  75,   7): (  75,   4) --> (1499,   1), goal index:      843, cost =
 index:      151, (  74,   7): (  74,   4) --> (1499,   1), goal index:      854, cost =
 index:      152, (  74,   7): (  74,   4) --> (1499,   1), goal index:      866, cost =
 index:      153, (  73,   4): (  73,   1) --> (1499,   1), goal index:      825, cost =
 index:      154, (  73,   4): (  73,   1) --> (1499,   1), goal index:      826, cost =
 index:      155, (  73,   4): (  73,   1) --> (1499,   1), goal index:      839, cost =
 index:      156, (  74,   7): (  74,   4) --> (1499,   1), goal index:      828, cost =
 index:      157, (  75,   7): (  75,   4) --> (1499,   1), goal index:      827, cost =
 index:      158, (  74,   7): (  74,   4) --> (1499,   1), goal index:      839, cost =
 index:      159, (  75,   7): (  75,   4) --> (1499,   1), goal index:      851, cost =
 index:      160, (  73,   4): (  73,   1) --> (1499,   1), goal index:      852, cost =
 index:      161, (  74,   7): (  74,   4) --> (1499,   1), goal index:      831, cost =
 index:      162, (  74,   4): (  74,   1) --> (1499,   1), goal index:      844, cost =
 index:      163, (  74,   7): (  74,   4) --> (1499,   1), goal index:      856, cost =
 index:      164, (  75,   7): (  75,   4) --> (1499,   1), goal index:      854, cost =
 index:      165, (  74,   7): (  74,   4) --> (1499,   1), goal index:      865, cost =
 index:      166, (  75,   7): (  75,   4) --> (1499,   1), goal index:      839, cost =
 index:      167, (  74,   4): (  74,   1) --> (1499,   1), goal index:      847, cost =
 index:      168, (  75,   7): (  75,   4) --> (1499,   1), goal index:      858, cost =
 index:      169, (  74,   7): (  74,   4) --> (1499,   1), goal index:      838, cost =
 index:      170, (  75,   7): (  75,   4) --> (1499,   1), goal index:      839, cost =
 index:      171, (  74,   4): (  74,   1) --> (1499,   1), goal index:      852, cost =
 index:      172, (  75,   7): (  75,   4) --> (1499,   1), goal index:      865, cost =
 index:      173, (  76,   7): (  76,   4) --> (1499,   1), goal index:      867, cost =
 index:      174, (  75,   7): (  75,   4) --> (1499,   1), goal index:      878, cost =
 index:      175, (  75,   7): (  75,   4) --> (1499,   1), goal index:      890, cost =
 index:      176, (  75,   7): (  75,   4) --> (1499,   1), goal index:      875, cost =
 index:      177, (  74,   4): (  74,   1) --> (1499,   1), goal index:      848, cost =
 index:      178, (  74,   4): (  74,   1) --> (1499,   1), goal index:      851, cost =
 index:      179, (  74,   4): (  74,   1) --> (1499,   1), goal index:      865, cost =
 index:      180, (  74,   4): (  74,   1) --> (1499,   1), goal index:      867, cost =
 index:      181, (  75,   7): (  75,   4) --> (1499,   1), goal index:      854, cost =
 index:      182, (  76,   7): (  76,   4) --> (1499,   1), goal index:      851, cost =
 index:      183, (  75,   7): (  75,   4) --> (1499,   1), goal index:      864, cost =
 index:      184, (  76,   7): (  76,   4) --> (1499,   1), goal index:      876, cost =
 index:      185, (  74,   4): (  74,   1) --> (1499,   1), goal index:      878, cost =
 index:      186, (  75,   7): (  75,   4) --> (1499,   1), goal index:      855, cost =
 index:      187, (  75,   4): (  75,   1) --> (1499,   1), goal index:      871, cost =
 index:      188, (  75,   7): (  75,   4) --> (1499,   1), goal index:      884, cost =
 index:      189, (  76,   7): (  76,   4) --> (1499,   1), goal index:      880, cost =
 index:      190, (  75,   7): (  75,   4) --> (1499,   1), goal index:      892, cost =
 index:      191, (  75,   7): (  75,   4) --> (1499,   1), goal index:      888, cost =
 index:      192, (  76,   7): (  76,   4) --> (1499,   1), goal index:      864, cost =
 index:      193, (  76,   7): (  76,   4) --> (1499,   1), goal index:      874, cost =
 index:      194, (  75,   7): (  75,   4) --> (1499,   1), goal index:      864, cost =
 index:      195, (  76,   7): (  76,   4) --> (1499,   1), goal index:      864, cost =
 index:      196, (  75,   4): (  75,   1) --> (1499,   1), goal index:      877, cost =
 index:      197, (  76,   7): (  76,   4) --> (1499,   1), goal index:      890, cost =
 index:      198, (  77,   7): (  77,   4) --> (1499,   1), goal index:      892, cost =
 index:      199, (  76,   7): (  76,   4) --> (1499,   1), goal index:      903, cost =
 index:      200, (  76,   7): (  76,   4) --> (1499,   1), goal index:      915, cost =
 index:      201, (  76,   7): (  76,   4) --> (1499,   1), goal index:      899, cost =
 index:      202, (  75,   4): (  75,   1) --> (1499,   1), goal index:      887, cost =
 index:      203, (  75,   4): (  75,   1) --> (1499,   1), goal index:      877, cost =
 index:      204, (  75,   4): (  75,   1) --> (1499,   1), goal index:      891, cost =
 index:      205, (  75,   4): (  75,   1) --> (1499,   1), goal index:      892, cost =
 index:      206, (  76,   7): (  76,   4) --> (1499,   1), goal index:      891, cost =
 index:      207, (  77,   7): (  77,   4) --> (1499,   1), goal index:      877, cost =
 index:      208, (  76,   7): (  76,   4) --> (1499,   1), goal index:      890, cost =
 index:      209, (  77,   7): (  77,   4) --> (1499,   1), goal index:      901, cost =
 index:      210, (  75,   4): (  75,   1) --> (1499,   1), goal index:      904, cost =
 index:      211, (  76,   7): (  76,   4) --> (1499,   1), goal index:      882, cost =
 index:      212, (  76,   4): (  76,   1) --> (1499,   1), goal index:      897, cost =
 index:      213, (  76,   7): (  76,   4) --> (1499,   1), goal index:      910, cost =
 index:      214, (  77,   7): (  77,   4) --> (1499,   1), goal index:      906, cost =
 index:      215, (  76,   7): (  76,   4) --> (1499,   1), goal index:      918, cost =
 index:      216, (  76,   7): (  76,   4) --> (1499,   1), goal index:      914, cost =
 index:      217, (  77,   7): (  77,   4) --> (1499,   1), goal index:      904, cost =
 index:      218, (  77,   7): (  77,   4) --> (1499,   1), goal index:      915, cost =
 index:      219, (  77,   7): (  77,   4) --> (1499,   1), goal index:      915, cost =
 index:      220, (  76,   7): (  76,   4) --> (1499,   1), goal index:      890, cost =
 index:      221, (  77,   7): (  77,   4) --> (1499,   1), goal index:      892, cost =
 index:      222, (  76,   4): (  76,   1) --> (1499,   1), goal index:      906, cost =
 index:      223, (  77,   7): (  77,   4) --> (1499,   1), goal index:      920, cost =
 index:      224, (  78,   7): (  78,   4) --> (1499,   1), goal index:      922, cost =
 index:      225, (  77,   7): (  77,   4) --> (1499,   1), goal index:      934, cost =
 index:      226, (  77,   7): (  77,   4) --> (1499,   1), goal index:      947, cost =
 index:      227, (  77,   7): (  77,   4) --> (1499,   1), goal index:      929, cost =
 index:      228, (  76,   4): (  76,   1) --> (1499,   1), goal index:      915, cost =
 index:      229, (  76,   4): (  76,   1) --> (1499,   1), goal index:      903, cost =
 index:      230, (  76,   4): (  76,   1) --> (1499,   1), goal index:      917, cost =
 index:      231, (  76,   4): (  76,   1) --> (1499,   1), goal index:      919, cost =
 index:      232, (  77,   7): (  77,   4) --> (1499,   1), goal index:      919, cost =
 index:      233, (  78,   7): (  78,   4) --> (1499,   1), goal index:      904, cost =
 index:      234, (  77,   7): (  77,   4) --> (1499,   1), goal index:      918, cost =
 index:      235, (  78,   7): (  78,   4) --> (1499,   1), goal index:      931, cost =
 index:      236, (  76,   4): (  76,   1) --> (1499,   1), goal index:      933, cost =
 index:      237, (  77,   7): (  77,   4) --> (1499,   1), goal index:      910, cost =
 index:      238, (  77,   4): (  77,   1) --> (1499,   1), goal index:      925, cost =
 index:      239, (  77,   7): (  77,   4) --> (1499,   1), goal index:      939, cost =
 index:      240, (  78,   7): (  78,   4) --> (1499,   1), goal index:      934, cost =
 index:      241, (  77,   7): (  77,   4) --> (1499,   1), goal index:      947, cost =
 index:      242, (  77,   7): (  77,   4) --> (1499,   1), goal index:      943, cost =
 index:      243, (  78,   7): (  78,   4) --> (1499,   1), goal index:      931, cost =
 index:      244, (  78,   7): (  78,   4) --> (1499,   1), goal index:      944, cost =
 index:      245, (  78,   7): (  78,   4) --> (1499,   1), goal index:      944, cost =
 index:      246, (  77,   7): (  77,   4) --> (1499,   1), goal index:      917, cost =
 index:      247, (  78,   7): (  78,   4) --> (1499,   1), goal index:      919, cost =
 index:      248, (  77,   4): (  77,   1) --> (1499,   1), goal index:      933, cost =
 index:      249, (  78,   7): (  78,   4) --> (1499,   1), goal index:      947, cost =
 index:      250, (  79,   7): (  79,   4) --> (1499,   1), goal index:      949, cost =
 index:      251, (  78,   7): (  78,   4) --> (1499,   1), goal index:      961, cost =
 index:      252, (  78,   7): (  78,   4) --> (1499,   1), goal index:      974, cost =
 index:      253, (  78,   7): (  78,   4) --> (1499,   1), goal index:      956, cost =
 index:      254, (  77,   4): (  77,   1) --> (1499,   1), goal index:      943, cost =
 index:      255, (  77,   4): (  77,   1) --> (1499,   1), goal index:      930, cost =
 index:      256, (  77,   4): (  77,   1) --> (1499,   1), goal index:      945, cost =
 index:      257, (  77,   4): (  77,   1) --> (1499,   1), goal index:      947, cost =
 index:      258, (  78,   7): (  78,   4) --> (1499,   1), goal index:      947, cost =
 index:      259, (  79,   7): (  79,   4) --> (1499,   1), goal index:      932, cost =
 index:      260, (  78,   7): (  78,   4) --> (1499,   1), goal index:      946, cost =
 index:      261, (  79,   7): (  79,   4) --> (1499,   1), goal index:      960, cost =
 index:      262, (  77,   4): (  77,   1) --> (1499,   1), goal index:      962, cost =
 index:      263, (  78,   7): (  78,   4) --> (1499,   1), goal index:      937, cost =
 index:      264, (  78,   4): (  78,   1) --> (1499,   1), goal index:      952, cost =
 index:      265, (  78,   7): (  78,   4) --> (1499,   1), goal index:      966, cost =
 index:      266, (  79,   7): (  79,   4) --> (1499,   1), goal index:      961, cost =
 index:      267, (  78,   7): (  78,   4) --> (1499,   1), goal index:      974, cost =
 index:      268, (  78,   7): (  78,   4) --> (1499,   1), goal index:      970, cost =
 index:      269, (  79,   7): (  79,   4) --> (1499,   1), goal index:      958, cost =
 index:      270, (  79,   7): (  79,   4) --> (1499,   1), goal index:      971, cost =
 index:      271, (  79,   7): (  79,   4) --> (1499,   1), goal index:      971, cost =
 index:      272, (  78,   7): (  78,   4) --> (1499,   1), goal index:      945, cost =
 index:      273, (  79,   7): (  79,   4) --> (1499,   1), goal index:      946, cost =
 index:      274, (  78,   4): (  78,   1) --> (1499,   1), goal index:      961, cost =
 index:      275, (  79,   7): (  79,   4) --> (1499,   1), goal index:      975, cost =
 index:      276, (  80,   7): (  80,   4) --> (1499,   1), goal index:      978, cost =
 index:      277, (  79,   7): (  79,   4) --> (1499,   1), goal index:      991, cost =
 index:      278, (  79,   7): (  79,   4) --> (1499,   1), goal index:     1005, cost =
 index:      279, (  79,   7): (  79,   4) --> (1499,   1), goal index:      985, cost =
 index:      280, (  78,   4): (  78,   1) --> (1499,   1), goal index:      970, cost =
 index:      281, (  78,   4): (  78,   1) --> (1499,   1), goal index:      957, cost =
 index:      282, (  78,   4): (  78,   1) --> (1499,   1), goal index:      971, cost =
 index:      283, (  78,   4): (  78,   1) --> (1499,   1), goal index:      972, cost =
 index:      284, (  79,   7): (  79,   4) --> (1499,   1), goal index:      972, cost =
 index:      285, (  80,   7): (  80,   4) --> (1499,   1), goal index:      959, cost =
 index:      286, (  79,   7): (  79,   4) --> (1499,   1), goal index:      974, cost =
 index:      287, (  80,   7): (  80,   4) --> (1499,   1), goal index:      989, cost =
 index:      288, (  78,   4): (  78,   1) --> (1499,   1), goal index:      991, cost =
 index:      289, (  79,   7): (  79,   4) --> (1499,   1), goal index:      964, cost =
 index:      290, (  79,   4): (  79,   1) --> (1499,   1), goal index:      980, cost =
 index:      291, (  79,   7): (  79,   4) --> (1499,   1), goal index:      995, cost =
 index:      292, (  80,   7): (  80,   4) --> (1499,   1), goal index:      988, cost =
 index:      293, (  79,   7): (  79,   4) --> (1499,   1), goal index:     1002, cost =
 index:      294, (  79,   7): (  79,   4) --> (1499,   1), goal index:      999, cost =
 index:      295, (  80,   7): (  80,   4) --> (1499,   1), goal index:      985, cost =
 index:      296, (  80,   7): (  80,   4) --> (1499,   1), goal index:      998, cost =
 index:      297, (  80,   7): (  80,   4) --> (1499,   1), goal index:      997, cost =
 index:      298, (  79,   7): (  79,   4) --> (1499,   1), goal index:      972, cost =
 index:      299, (  80,   7): (  80,   4) --> (1499,   1), goal index:      973, cost =
 index:      300, (  79,   4): (  79,   1) --> (1499,   1), goal index:      989, cost =
 index:      301, (  80,   7): (  80,   4) --> (1499,   1), goal index:     1005, cost =
 index:      302, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1007, cost =
 index:      303, (  80,   7): (  80,   4) --> (1499,   1), goal index:     1021, cost =
 index:      304, (  80,   7): (  80,   4) --> (1499,   1), goal index:     1035, cost =
 index:      305, (  80,   7): (  80,   4) --> (1499,   1), goal index:     1013, cost =
 index:      306, (  79,   4): (  79,   1) --> (1499,   1), goal index:      998, cost =
 index:      307, (  79,   4): (  79,   1) --> (1499,   1), goal index:      984, cost =
 index:      308, (  79,   4): (  79,   1) --> (1499,   1), goal index:     1001, cost =
 index:      309, (  79,   4): (  79,   1) --> (1499,   1), goal index:     1003, cost =
 index:      310, (  80,   7): (  80,   4) --> (1499,   1), goal index:     1002, cost =
 index:      311, (  81,   7): (  81,   4) --> (1499,   1), goal index:      986, cost =
 index:      312, (  80,   7): (  80,   4) --> (1499,   1), goal index:     1003, cost =
 index:      313, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1019, cost =
 index:      314, (  79,   4): (  79,   1) --> (1499,   1), goal index:     1022, cost =
 index:      315, (  80,   7): (  80,   4) --> (1499,   1), goal index:      991, cost =
 index:      316, (  80,   4): (  80,   1) --> (1499,   1), goal index:     1010, cost =
 index:      317, (  80,   7): (  80,   4) --> (1499,   1), goal index:     1026, cost =
 index:      318, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1019, cost =
 index:      319, (  80,   7): (  80,   4) --> (1499,   1), goal index:     1034, cost =
 index:      320, (  80,   7): (  80,   4) --> (1499,   1), goal index:     1033, cost =
 index:      321, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1020, cost =
 index:      322, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1035, cost =
 index:      323, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1036, cost =
 index:      324, (  80,   7): (  80,   4) --> (1499,   1), goal index:      999, cost =
 index:      325, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1000, cost =
 index:      326, (  80,   4): (  80,   1) --> (1499,   1), goal index:     1017, cost =
 index:      327, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1032, cost =
 index:      328, (  83,   7): (  83,   4) --> (1499,   1), goal index:     1035, cost =
 index:      329, (  81,   7): (  81,   4) --> (1499,   1), goal index:     1049, cost =
