============= Kyber-I
Generate gs-lengths by GSA assumption...enumbs min_G_prec = 0.1
 Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 50, gap = 1, J = 8, J_gap = 1, cost_model = 1, max_loop = 5, threads = 10, G_prec = 1.000000e-03,  slope_prec = 1.000000e-04,  progressive_sieve = 1, Find minimal time cost strategy, worst_case, Min G2 Strategy. 

 index:        2, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      745, cost =
 index:        3, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      745, cost =
 index:        4, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      746, cost =
 index:        5, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      748, cost =
 index:        6, (  78,   1): (  79,   8) --> ( 699,   1), goal index:      747, cost =
 index:       39, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      919, cost =
 index:       40, (  80,   7): (  80,   6) --> ( 699,   1), goal index:      928, cost =
 index:       41, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      937, cost =
 index:       42, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      949, cost =
 index:       43, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      958, cost =
 index:       44, (  82,   7): (  82,   6) --> ( 699,   1), goal index:      972, cost =
 index:       45, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      981, cost =
 index:       46, (  83,   8): (  83,   7) --> ( 699,   1), goal index:      978, cost =
 index:       47, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      988, cost =
 index:       48, (  82,   7): (  82,   6) --> ( 699,   1), goal index:      997, cost =
 index:       49, (  83,   8): (  83,   7) --> ( 699,   1), goal index:     1003, cost =
 index:       50, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1008, cost =
 index:       51, (  79,   8): (  79,   7) --> ( 699,   1), goal index:     1005, cost =
 index:       52, (  79,   7): (  79,   6) --> ( 699,   1), goal index:      857, cost =
 index:       53, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      882, cost =
 index:       54, (  79,   7): (  79,   6) --> ( 699,   1), goal index:      900, cost =
 index:       55, (  79,   6): (  79,   5) --> ( 699,   1), goal index:      922, cost =
 index:       56, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      931, cost =
 index:       57, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      942, cost =
 index:       58, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      958, cost =
 index:       59, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      969, cost =
 index:       60, (  82,   7): (  82,   6) --> ( 699,   1), goal index:      982, cost =
 index:       61, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      992, cost =
 index:       62, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      990, cost =
 index:       63, (  83,   8): (  83,   7) --> ( 699,   1), goal index:     1003, cost =
 index:       64, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1006, cost =
 index:       65, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1012, cost =
 index:       66, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1019, cost =
 index:       67, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1024, cost =
 index:       68, (  79,   8): (  79,   7) --> ( 699,   1), goal index:     1030, cost =
 index:       69, (  79,   7): (  79,   6) --> ( 699,   1), goal index:      873, cost =
 index:       70, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      898, cost =
 index:       71, (  79,   7): (  79,   6) --> ( 699,   1), goal index:      916, cost =
 index:       72, (  79,   6): (  79,   5) --> ( 699,   1), goal index:      938, cost =
 index:       73, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      947, cost =
 index:       74, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      958, cost =
 index:       75, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      974, cost =
 index:       76, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      983, cost =
 index:       77, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      997, cost =
 index:       78, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1004, cost =
 index:       79, (  83,   8): (  83,   7) --> ( 699,   1), goal index:     1017, cost =
 index:       80, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1020, cost =
 index:       81, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1025, cost =
 index:       82, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1034, cost =
 index:       83, (  79,   8): (  79,   7) --> ( 699,   1), goal index:     1040, cost =
 index:       84, (  79,   7): (  79,   6) --> ( 699,   1), goal index:      885, cost =
 index:       85, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      912, cost =
 index:       86, (  79,   7): (  79,   6) --> ( 699,   1), goal index:      930, cost =
 index:       87, (  79,   6): (  79,   5) --> ( 699,   1), goal index:      951, cost =
 index:       88, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      960, cost =
 index:       89, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      972, cost =
 index:       90, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      988, cost =
 index:       91, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      997, cost =
 index:       92, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1012, cost =
 index:       93, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1019, cost =
 index:       94, (  83,   8): (  83,   7) --> ( 699,   1), goal index:     1031, cost =
 index:       95, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1034, cost =
 index:       96, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1039, cost =
 index:       97, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1048, cost =
 index:       98, (  79,   4): (  79,   3) --> ( 699,   1), goal index:     1052, cost =
 index:       99, (  79,   7): (  79,   6) --> ( 699,   1), goal index:     1000, cost =
 index:      100, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      904, cost =
 index:      101, (  79,   7): (  79,   6) --> ( 699,   1), goal index:      926, cost =
 index:      102, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      953, cost =
 index:      103, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      970, cost =
 index:      104, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      986, cost =
 index:      105, (  82,   8): (  82,   7) --> ( 699,   1), goal index:      994, cost =
 index:      106, (  82,   7): (  82,   6) --> ( 699,   1), goal index:     1008, cost =
 index:      107, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1017, cost =
 index:      108, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1017, cost =
 index:      109, (  83,   8): (  83,   7) --> ( 699,   1), goal index:     1029, cost =
 index:      110, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1032, cost =
 index:      111, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1038, cost =
 index:      112, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1046, cost =
 index:      113, (  79,   4): (  79,   3) --> ( 699,   1), goal index:     1050, cost =
 index:      114, (  79,   4): (  79,   3) --> ( 699,   1), goal index:     1010, cost =
 index:      115, (  80,   8): (  80,   7) --> ( 699,   1), goal index:     1020, cost =
 index:      116, (  79,   7): (  79,   6) --> ( 699,   1), goal index:     1032, cost =
 index:      117, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      927, cost =
 index:      118, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      951, cost =
 index:      119, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      971, cost =
 index:      120, (  80,   7): (  80,   6) --> ( 699,   1), goal index:      989, cost =
 index:      121, (  80,   8): (  80,   7) --> ( 699,   1), goal index:      999, cost =
 index:      122, (  80,   7): (  80,   6) --> ( 699,   1), goal index:     1010, cost =
 index:      123, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1013, cost =
 index:      124, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1019, cost =
 index:      125, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1030, cost =
 index:      126, (  82,   7): (  82,   6) --> ( 699,   1), goal index:     1042, cost =
 index:      127, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1052, cost =
 index:      128, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1051, cost =
 index:      129, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1060, cost =
 index:      130, (  82,   8): (  82,   7) --> ( 699,   1), goal index:     1060, cost =
 index:      131, (  79,   4): (  79,   3) --> ( 699,   1), goal index:     1073, cost =
 index:      132, (  80,   8): (  80,   7) --> ( 699,   1), goal index:     1037, cost =
 index:      133, (  79,   4): (  79,   3) --> ( 699,   1), goal index:     1042, cost =
 index:      134, (  80,   8): (  80,   7) --> ( 699,   1), goal index:     1058, cost =
 index:      135, (  80,   7): (  80,   6) --> ( 699,   1), goal index:     1067, cost =
 index:      136, (  79,   7): (  79,   6) --> ( 699,   1), goal index:     1075, cost =
