TU LWE Challenge, n =  40, alpha = 0.0350
[0m[1;31m dim = 188, dvol = 327.74 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 79, gap = 1, J = 8, J_gap = 1, cost_model = 2, max_loop = 5, threads = 15, G_prec = 0.000000e+00,  slope_prec = 1.000000e-04,  progressive_sieve = 1, worst_case, Min G2 Strategy. 

 index:        1, (beta,j): (  79,   8) --> ( 187,   1), goal index:       71, cost =
 index:        2, (beta,j): (  79,   7) --> ( 187,   1), goal index:      153, cost =
 index:        3, (beta,j): (  80,   7) --> ( 187,   1), goal index:      208, cost =
 index:        4, (beta,j): (  81,   7) --> ( 187,   1), goal index:      302, cost =
 index:        5, (beta,j): (  82,   7) --> ( 187,   1), goal index:      389, cost =
 index:       76, (beta,j): (  80,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       77, (beta,j): (  81,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       78, (beta,j): (  82,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       79, (beta,j): (  82,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       80, (beta,j): (  83,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       81, (beta,j): (  82,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       82, (beta,j): (  82,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       83, (beta,j): (  82,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       84, (beta,j): (  82,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       85, (beta,j): (  83,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       86, (beta,j): (  82,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       87, (beta,j): (  82,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       88, (beta,j): (  83,   7) --> ( 187,   1), goal index:     3063, cost =
 index:       89, (beta,j): (  83,   7) --> ( 187,   1), goal index:     3104, cost =
 index:       90, (beta,j): (  83,   7) --> ( 187,   1), goal index:     3147, cost =
 index:       91, (beta,j): (  83,   7) --> ( 187,   1), goal index:     3192, cost =
 index:       92, (beta,j): (  84,   7) --> ( 187,   1), goal index:     3238, cost =
 index:       93, (beta,j): (  83,   7) --> ( 187,   1), goal index:     3278, cost =
 index:       94, (beta,j): (  84,   7) --> ( 187,   1), goal index:     3326, cost =
 index:       95, (beta,j): (  85,   7) --> ( 187,   1), goal index:     3362, cost =
 index:       96, (beta,j): (  84,   7) --> ( 187,   1), goal index:     3403, cost =
 index:       97, (beta,j): (  84,   7) --> ( 187,   1), goal index:     3456, cost =
 index:       98, (beta,j): (  85,   7) --> ( 187,   1), goal index:     3505, cost =
 index:       99, (beta,j): (  86,   7) --> ( 187,   1), goal index:     3537, cost =
 index:      100, (beta,j): (  84,   7) --> ( 187,   1), goal index:     3568, cost =
 index:      101, (beta,j): (  85,   7) --> ( 187,   1), goal index:     3568, cost =
 index:      102, (beta,j): (  85,   7) --> ( 187,   1), goal index:     3623, cost =
 index:      103, (beta,j): (  86,   7) --> ( 187,   1), goal index:     3672, cost =
 index:      104, (beta,j): (  84,   7) --> ( 187,   1), goal index:     3698, cost =
 index:      105, (beta,j): (  85,   7) --> ( 187,   1), goal index:     3698, cost =
 index:      106, (beta,j): (  85,   7) --> ( 187,   1), goal index:     3751, cost =
 index:      107, (beta,j): (  86,   7) --> ( 187,   1), goal index:     3793, cost =
 index:      108, (beta,j): (  85,   7) --> ( 187,   1), goal index:     3827, cost =
 index:      109, (beta,j): (  85,   7) --> ( 187,   1), goal index:     3827, cost =
 index:      110, (beta,j): (  86,   7) --> ( 187,   1), goal index:     3879, cost =
 index:      111, (beta,j): (  89,   7) --> ( 187,   1), goal index:     3914, cost =
 index:      112, (beta,j): (  85,   7) --> ( 187,   1), goal index:     3898, cost =
 index:      113, (beta,j): (  86,   7) --> ( 187,   1), goal index:     3898, cost =
 index:      114, (beta,j): (  86,   7) --> ( 187,   1), goal index:     3898, cost =
 index:      115, (beta,j): (  89,   7) --> ( 187,   1), goal index:     3898, cost =
 index:      116, (beta,j): (  90,   7) --> ( 187,   1), goal index:     3927, cost =
 index:      117, (beta,j): (  85,   7) --> ( 187,   1), goal index:     3958, cost =
 index:      118, (beta,j): (  86,   7) --> ( 187,   1), goal index:     3958, cost =
 index:      119, (beta,j): (  86,   7) --> ( 187,   1), goal index:     3958, cost =
 index:      120, (beta,j): (  89,   7) --> ( 187,   1), goal index:     3958, cost =
 index:      121, (beta,j): (  89,   7) --> ( 187,   1), goal index:     3958, cost =
 index:      122, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4009, cost =
 index:      123, (beta,j): (  86,   7) --> ( 187,   1), goal index:     4046, cost =
 index:      124, (beta,j): (  86,   7) --> ( 187,   1), goal index:     4046, cost =
 index:      125, (beta,j): (  89,   7) --> ( 187,   1), goal index:     4046, cost =
 index:      126, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4046, cost =
 index:      127, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4081, cost =
 index:      128, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4131, cost =
 index:      129, (beta,j): (  86,   7) --> ( 187,   1), goal index:     4170, cost =
 index:      130, (beta,j): (  89,   7) --> ( 187,   1), goal index:     4170, cost =
 index:      131, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4170, cost =
 index:      132, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4170, cost =
 index:      133, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4201, cost =
 index:      134, (beta,j): (  86,   7) --> ( 187,   1), goal index:     4253, cost =
 index:      135, (beta,j): (  89,   7) --> ( 187,   1), goal index:     4253, cost =
 index:      136, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4253, cost =
 index:      137, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4253, cost =
 index:      138, (beta,j): (  92,   7) --> ( 187,   1), goal index:     4293, cost =
 index:      139, (beta,j): (  92,   7) --> ( 187,   1), goal index:     4315, cost =
 index:      140, (beta,j): (  89,   7) --> ( 187,   1), goal index:     4361, cost =
 index:      141, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4361, cost =
 index:      142, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4361, cost =
 index:      143, (beta,j): (  92,   7) --> ( 187,   1), goal index:     4361, cost =
 index:      144, (beta,j): (  89,   7) --> ( 187,   1), goal index:     4393, cost =
 index:      145, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4393, cost =
 index:      146, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4393, cost =
 index:      147, (beta,j): (  89,   7) --> ( 187,   1), goal index:     4447, cost =
 index:      148, (beta,j): (  89,   7) --> ( 187,   1), goal index:     4447, cost =
 index:      149, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4447, cost =
 index:      150, (beta,j): (  89,   7) --> ( 187,   1), goal index:     4501, cost =
 index:      151, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4501, cost =
 index:      152, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4528, cost =
 index:      153, (beta,j): (  89,   7) --> ( 187,   1), goal index:     4528, cost =
 index:      154, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4528, cost =
 index:      155, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4546, cost =
 index:      156, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4546, cost =
 index:      157, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4331, cost =
 index:      158, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4332, cost =
 index:      159, (beta,j): (  89,   7) --> ( 187,   1), goal index:     4333, cost =
 index:      160, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4333, cost =
 index:      161, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4333, cost =
 index:      162, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4333, cost =
 index:      163, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4324, cost =
 index:      164, (beta,j): (  92,   7) --> ( 187,   1), goal index:     4324, cost =
 index:      165, (beta,j): (  89,   7) --> ( 187,   1), goal index:     4325, cost =
 index:      166, (beta,j): (  90,   7) --> ( 187,   1), goal index:     4325, cost =
 index:      167, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4325, cost =
 index:      168, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4343, cost =
 index:      169, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4389, cost =
 index:      170, (beta,j): (  92,   7) --> ( 187,   1), goal index:     4390, cost =
 index:      171, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4390, cost =
 index:      172, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4387, cost =
 index:      173, (beta,j): (  92,   7) --> ( 187,   1), goal index:     4388, cost =
 index:      174, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4388, cost =
 index:      175, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4388, cost =
 index:      176, (beta,j): (  92,   7) --> ( 187,   1), goal index:     4388, cost =
 index:      177, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4388, cost =
 index:      178, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4409, cost =
 index:      179, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4454, cost =
 index:      180, (beta,j): (  91,   7) --> ( 187,   1), goal index:     4454, cost =
 index:      181, (beta,j): (  92,   7) --> ( 187,   1), goal index:     4454, cost =
 index:      182, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4454, cost =
 index:      183, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4469, cost =
 index:      184, (beta,j): (  92,   7) --> ( 187,   1), goal index:     4469, cost =
 index:      185, (beta,j): (  93,   7) --> ( 187,   1), goal index:     4469, cost =
 index:      186, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4469, cost =
 index:      187, (beta,j): (  93,   7) --> ( 187,   1), goal index:     4486, cost =
 index:      188, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4486, cost =
 index:      189, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4486, cost =
 index:      190, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4485, cost =
 index:      191, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4485, cost =
 index:      192, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4502, cost =
 index:      193, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4502, cost =
 index:      194, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4521, cost =
 index:      195, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4562, cost =
 index:      196, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4570, cost =
 index:      197, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4570, cost =
 index:      198, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4570, cost =
 index:      199, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4615, cost =
 index:      200, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4592, cost =
 index:      201, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4592, cost =
 index:      202, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4592, cost =
 index:      203, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4612, cost =
 index:      204, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4612, cost =
 index:      205, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4647, cost =
 index:      206, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4647, cost =
 index:      207, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4684, cost =
 index:      208, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4684, cost =
 index:      209, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4714, cost =
 index:      210, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4714, cost =
 index:      211, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4714, cost =
 index:      212, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4745, cost =
 index:      213, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4745, cost =
 index:      214, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4784, cost =
 index:      215, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4784, cost =
 index:      216, (beta,j): (  99,   7) --> ( 187,   1), goal index:     4816, cost =
 index:      217, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4830, cost =
 index:      218, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4830, cost =
 index:      219, (beta,j): (  99,   7) --> ( 187,   1), goal index:     4830, cost =
 index:      220, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4858, cost =
 index:      221, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4858, cost =
 index:      222, (beta,j): (  99,   7) --> ( 187,   1), goal index:     4858, cost =
 index:      223, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4897, cost =
 index:      224, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4897, cost =
 index:      225, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4897, cost =
 index:      226, (beta,j): (  98,   7) --> ( 187,   1), goal index:     4897, cost =
 index:      227, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4939, cost =
 index:      228, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4939, cost =
 index:      229, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4939, cost =
 index:      230, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4964, cost =
 index:      231, (beta,j): (  97,   7) --> ( 187,   1), goal index:     4988, cost =
 index:      232, (beta,j): (  98,   7) --> ( 187,   1), goal index:     5018, cost =
 index:      233, (beta,j): (  97,   7) --> ( 187,   1), goal index:     5025, cost =
 index:      234, (beta,j): (  98,   7) --> ( 187,   1), goal index:     5025, cost =
 index:      235, (beta,j): (  97,   7) --> ( 187,   1), goal index:     5059, cost =
 index:      236, (beta,j): (  98,   7) --> ( 187,   1), goal index:     5059, cost =
 index:      237, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5094, cost =
 index:      238, (beta,j): (  97,   7) --> ( 187,   1), goal index:     5113, cost =
 index:      239, (beta,j): (  98,   7) --> ( 187,   1), goal index:     5113, cost =
 index:      240, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5113, cost =
 index:      241, (beta,j): (  98,   7) --> ( 187,   1), goal index:     5149, cost =
 index:      242, (beta,j): (  98,   7) --> ( 187,   1), goal index:     5149, cost =
 index:      243, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5184, cost =
 index:      244, (beta,j): (  98,   7) --> ( 187,   1), goal index:     5197, cost =
 index:      245, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5197, cost =
 index:      246, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5229, cost =
 index:      247, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5258, cost =
 index:      248, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5290, cost =
 index:      249, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5320, cost =
 index:      250, (beta,j): (  98,   7) --> ( 187,   1), goal index:     5366, cost =
 index:      251, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5366, cost =
 index:      252, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5243, cost =
 index:      253, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5266, cost =
 index:      254, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5267, cost =
 index:      255, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5269, cost =
 index:      256, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5270, cost =
 index:      257, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5296, cost =
 index:      258, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5297, cost =
 index:      259, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5284, cost =
 index:      260, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5285, cost =
 index:      261, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5319, cost =
 index:      262, (beta,j): ( 107,   7) --> ( 187,   1), goal index:     5319, cost =
 index:      263, (beta,j): (  97,   7) --> ( 187,   1), goal index:     5307, cost =
 index:      264, (beta,j): ( 107,   7) --> ( 187,   1), goal index:     5307, cost =
 index:      265, (beta,j): ( 108,   7) --> ( 187,   1), goal index:     5340, cost =
 index:      266, (beta,j): (  97,   7) --> ( 187,   1), goal index:     5339, cost =
 index:      267, (beta,j): ( 108,   7) --> ( 187,   1), goal index:     5339, cost =
 index:      268, (beta,j): (  97,   7) --> ( 187,   1), goal index:     5368, cost =
 index:      269, (beta,j): (  98,   7) --> ( 187,   1), goal index:     5368, cost =
 index:      270, (beta,j): (  99,   7) --> ( 187,   1), goal index:     5368, cost =
 index:      271, (beta,j): (  97,   7) --> ( 187,   1), goal index:     5368, cost =
 index:      272, (beta,j): ( 109,   7) --> ( 187,   1), goal index:     5368, cost =
 index:      273, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5360, cost =
 index:      274, (beta,j): ( 109,   7) --> ( 187,   1), goal index:     5360, cost =
 index:      275, (beta,j): (  98,   7) --> ( 187,   1), goal index:     5389, cost =
 index:      276, (beta,j): (  98,   7) --> ( 187,   1), goal index:     5389, cost =
 index:      277, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5389, cost =
 index:      278, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5389, cost =
 index:      279, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5389, cost =
 index:      280, (beta,j): ( 111,   7) --> ( 187,   1), goal index:     5389, cost =
 index:      281, (beta,j): ( 111,   7) --> ( 187,   1), goal index:     5200, cost =
 index:      282, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5227, cost =
 index:      283, (beta,j): ( 112,   7) --> ( 187,   1), goal index:     5227, cost =
 index:      284, (beta,j): ( 112,   7) --> ( 187,   1), goal index:     5158, cost =
 index:      285, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5193, cost =
 index:      286, (beta,j): ( 113,   7) --> ( 187,   1), goal index:     5193, cost =
 index:      287, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5187, cost =
 index:      288, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5187, cost =
 index:      289, (beta,j): ( 113,   7) --> ( 187,   1), goal index:     5187, cost =
 index:      290, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      291, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      292, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      293, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      294, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      295, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      296, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      297, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      298, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      299, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      300, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      301, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      302, (beta,j): ( 107,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      303, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      304, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      305, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      306, (beta,j): ( 107,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      307, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      308, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      309, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      310, (beta,j): ( 107,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      311, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      312, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      313, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      314, (beta,j): ( 107,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      315, (beta,j): ( 105,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      316, (beta,j): ( 104,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      317, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      318, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      319, (beta,j): ( 107,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      320, (beta,j): ( 107,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      321, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      322, (beta,j): ( 107,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      323, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      324, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      325, (beta,j): ( 107,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      326, (beta,j): ( 107,   7) --> ( 187,   1), goal index:     5225, cost =
 index:      327, (beta,j): ( 106,   7) --> ( 187,   1), goal index:     5225, cost =
