TU LWE Challenge, n =  40, alpha = 0.0250
[0m[1;31m dim = 172, dvol = 331.97 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
beta_start= 79, gap = 1, J = 8, J_gap = 1, cost_model = 2, max_loop = 5, threads = 15, G_prec = 0.000000e+00,  slope_prec = 1.000000e-04,  progressive_sieve = 1, worst_case, Min G2 Strategy. 

 index:        1, (beta,j): (  79,   8) --> ( 171,   1), goal index:        1, cost =
 index:        2, (beta,j): (  79,   7) --> ( 171,   1), goal index:      108, cost =
 index:        3, (beta,j): (  80,   7) --> ( 171,   1), goal index:      133, cost =
 index:        4, (beta,j): (  81,   7) --> ( 171,   1), goal index:      183, cost =
 index:        5, (beta,j): (  82,   7) --> ( 171,   1), goal index:      238, cost =
 index:       23, (beta,j): (  80,   7) --> ( 171,   1), goal index:      649, cost =
 index:       24, (beta,j): (  80,   7) --> ( 171,   1), goal index:      669, cost =
 index:       25, (beta,j): (  81,   7) --> ( 171,   1), goal index:      684, cost =
 index:       26, (beta,j): (  82,   7) --> ( 171,   1), goal index:      707, cost =
 index:       27, (beta,j): (  82,   7) --> ( 171,   1), goal index:      722, cost =
 index:       28, (beta,j): (  83,   7) --> ( 171,   1), goal index:      738, cost =
 index:       29, (beta,j): (  82,   7) --> ( 171,   1), goal index:      761, cost =
 index:       30, (beta,j): (  82,   7) --> ( 171,   1), goal index:      776, cost =
 index:       31, (beta,j): (  83,   7) --> ( 171,   1), goal index:      792, cost =
 index:       32, (beta,j): (  83,   7) --> ( 171,   1), goal index:      815, cost =
 index:       33, (beta,j): (  83,   7) --> ( 171,   1), goal index:      828, cost =
 index:       34, (beta,j): (  84,   7) --> ( 171,   1), goal index:      840, cost =
 index:       35, (beta,j): (  84,   7) --> ( 171,   1), goal index:      866, cost =
 index:       36, (beta,j): (  85,   7) --> ( 171,   1), goal index:      879, cost =
 index:       37, (beta,j): (  84,   7) --> ( 171,   1), goal index:      892, cost =
 index:       38, (beta,j): (  85,   7) --> ( 171,   1), goal index:      912, cost =
 index:       39, (beta,j): (  86,   7) --> ( 171,   1), goal index:      935, cost =
 index:       40, (beta,j): (  85,   7) --> ( 171,   1), goal index:      947, cost =
 index:       41, (beta,j): (  86,   7) --> ( 171,   1), goal index:      964, cost =
 index:       42, (beta,j): (  85,   7) --> ( 171,   1), goal index:      975, cost =
 index:       43, (beta,j): (  86,   7) --> ( 171,   1), goal index:      989, cost =
 index:       44, (beta,j): (  89,   7) --> ( 171,   1), goal index:      987, cost =
 index:       45, (beta,j): (  86,   7) --> ( 171,   1), goal index:      985, cost =
 index:       46, (beta,j): (  89,   7) --> ( 171,   1), goal index:      985, cost =
 index:       47, (beta,j): (  90,   7) --> ( 171,   1), goal index:      998, cost =
 index:       48, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1018, cost =
 index:       49, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1033, cost =
 index:       50, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1053, cost =
 index:       51, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1070, cost =
 index:       52, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1070, cost =
 index:       53, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1085, cost =
 index:       54, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1099, cost =
 index:       55, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1115, cost =
 index:       56, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1115, cost =
 index:       57, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1115, cost =
 index:       58, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1131, cost =
 index:       59, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1143, cost =
 index:       60, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1143, cost =
 index:       61, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1153, cost =
 index:       62, (beta,j): (  93,   7) --> ( 171,   1), goal index:     1162, cost =
 index:       63, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1175, cost =
 index:       64, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1175, cost =
 index:       65, (beta,j): (  93,   7) --> ( 171,   1), goal index:     1188, cost =
 index:       66, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1197, cost =
 index:       67, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1197, cost =
 index:       68, (beta,j): (  93,   7) --> ( 171,   1), goal index:     1210, cost =
 index:       69, (beta,j): (  94,   7) --> ( 171,   1), goal index:     1219, cost =
 index:       70, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1228, cost =
 index:       71, (beta,j): (  93,   7) --> ( 171,   1), goal index:     1228, cost =
 index:       72, (beta,j): (  94,   7) --> ( 171,   1), goal index:     1242, cost =
 index:       73, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1250, cost =
 index:       74, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1238, cost =
 index:       75, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1238, cost =
 index:       76, (beta,j): (  94,   7) --> ( 171,   1), goal index:     1238, cost =
 index:       77, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1238, cost =
 index:       78, (beta,j): (  79,   7) --> ( 171,   1), goal index:     1234, cost =
 index:       79, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1234, cost =
 index:       80, (beta,j): (  80,   7) --> ( 171,   1), goal index:     1233, cost =
 index:       81, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1233, cost =
 index:       82, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1233, cost =
 index:       83, (beta,j): (  93,   7) --> ( 171,   1), goal index:     1233, cost =
 index:       84, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1233, cost =
 index:       85, (beta,j): (  80,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       86, (beta,j): (  81,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       87, (beta,j): (  82,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       88, (beta,j): (  82,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       89, (beta,j): (  83,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       90, (beta,j): (  82,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       91, (beta,j): (  82,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       92, (beta,j): (  82,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       93, (beta,j): (  82,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       94, (beta,j): (  83,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       95, (beta,j): (  82,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       96, (beta,j): (  82,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       97, (beta,j): (  83,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       98, (beta,j): (  83,   7) --> ( 171,   1), goal index:     1229, cost =
 index:       99, (beta,j): (  83,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      100, (beta,j): (  83,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      101, (beta,j): (  84,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      102, (beta,j): (  83,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      103, (beta,j): (  84,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      104, (beta,j): (  85,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      105, (beta,j): (  84,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      106, (beta,j): (  84,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      107, (beta,j): (  85,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      108, (beta,j): (  86,   7) --> ( 171,   1), goal index:     1245, cost =
 index:      109, (beta,j): (  84,   7) --> ( 171,   1), goal index:     1243, cost =
 index:      110, (beta,j): (  85,   7) --> ( 171,   1), goal index:     1243, cost =
 index:      111, (beta,j): (  85,   7) --> ( 171,   1), goal index:     1243, cost =
 index:      112, (beta,j): (  86,   7) --> ( 171,   1), goal index:     1255, cost =
 index:      113, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1247, cost =
 index:      114, (beta,j): (  84,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      115, (beta,j): (  85,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      116, (beta,j): (  85,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      117, (beta,j): (  86,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      118, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1229, cost =
 index:      119, (beta,j): (  85,   7) --> ( 171,   1), goal index:     1232, cost =
 index:      120, (beta,j): (  85,   7) --> ( 171,   1), goal index:     1232, cost =
 index:      121, (beta,j): (  86,   7) --> ( 171,   1), goal index:     1232, cost =
 index:      122, (beta,j): (  86,   7) --> ( 171,   1), goal index:     1232, cost =
 index:      123, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1232, cost =
 index:      124, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1230, cost =
 index:      125, (beta,j): (  86,   7) --> ( 171,   1), goal index:     1241, cost =
 index:      126, (beta,j): (  86,   7) --> ( 171,   1), goal index:     1241, cost =
 index:      127, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1241, cost =
 index:      128, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1260, cost =
 index:      129, (beta,j): (  86,   7) --> ( 171,   1), goal index:     1266, cost =
 index:      130, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1266, cost =
 index:      131, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1266, cost =
 index:      132, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1285, cost =
 index:      133, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1292, cost =
 index:      134, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1297, cost =
 index:      135, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1297, cost =
 index:      136, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1297, cost =
 index:      137, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1317, cost =
 index:      138, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1326, cost =
 index:      139, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1339, cost =
 index:      140, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1339, cost =
 index:      141, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1339, cost =
 index:      142, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1339, cost =
 index:      143, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1361, cost =
 index:      144, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1374, cost =
 index:      145, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1374, cost =
 index:      146, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1374, cost =
 index:      147, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1374, cost =
 index:      148, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1396, cost =
 index:      149, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1404, cost =
 index:      150, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1404, cost =
 index:      151, (beta,j): (  91,   7) --> ( 171,   1), goal index:     1404, cost =
 index:      152, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1423, cost =
 index:      153, (beta,j): (  93,   7) --> ( 171,   1), goal index:     1425, cost =
 index:      154, (beta,j): (  89,   7) --> ( 171,   1), goal index:     1422, cost =
 index:      155, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1422, cost =
 index:      156, (beta,j): (  92,   7) --> ( 171,   1), goal index:     1422, cost =
 index:      157, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1422, cost =
 index:      158, (beta,j): (  90,   7) --> ( 171,   1), goal index:     1275, cost =
 index:      159, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1275, cost =
 index:      160, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1275, cost =
 index:      161, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1285, cost =
 index:      162, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1272, cost =
 index:      163, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1272, cost =
 index:      164, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1266, cost =
 index:      165, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1279, cost =
 index:      166, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1279, cost =
 index:      167, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1266, cost =
 index:      168, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1266, cost =
 index:      169, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1266, cost =
 index:      170, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1262, cost =
 index:      171, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1262, cost =
 index:      172, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1262, cost =
 index:      173, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1265, cost =
 index:      174, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1283, cost =
 index:      175, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1283, cost =
 index:      176, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1283, cost =
 index:      177, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1289, cost =
 index:      178, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1289, cost =
 index:      179, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1286, cost =
 index:      180, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1286, cost =
 index:      181, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1286, cost =
 index:      182, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1282, cost =
 index:      183, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1282, cost =
 index:      184, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1283, cost =
 index:      185, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1289, cost =
 index:      186, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1289, cost =
 index:      187, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1296, cost =
 index:      188, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1296, cost =
 index:      189, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1296, cost =
 index:      190, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1308, cost =
 index:      191, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1308, cost =
 index:      192, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1308, cost =
 index:      193, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1296, cost =
 index:      194, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1285, cost =
 index:      195, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1285, cost =
 index:      196, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1285, cost =
 index:      197, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1285, cost =
 index:      198, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1272, cost =
 index:      199, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1272, cost =
 index:      200, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1272, cost =
 index:      201, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1262, cost =
 index:      202, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1262, cost =
 index:      203, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1259, cost =
 index:      204, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1265, cost =
 index:      205, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1283, cost =
 index:      206, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1283, cost =
 index:      207, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1283, cost =
 index:      208, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1283, cost =
 index:      209, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1243, cost =
 index:      210, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1243, cost =
 index:      211, (beta,j): (  97,   7) --> ( 171,   1), goal index:     1243, cost =
 index:      212, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1243, cost =
 index:      213, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1225, cost =
 index:      214, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1222, cost =
 index:      215, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1227, cost =
 index:      216, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1226, cost =
 index:      217, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1189, cost =
 index:      218, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1189, cost =
 index:      219, (beta,j): (  98,   7) --> ( 171,   1), goal index:     1178, cost =
 index:      220, (beta,j): (  99,   7) --> ( 171,   1), goal index:     1178, cost =
 index:      221, (beta,j): ( 104,   7) --> ( 171,   1), goal index:     1178, cost =
 index:      222, (beta,j): ( 105,   7) --> ( 171,   1), goal index:      939, cost =
 index:      223, (beta,j): (  98,   7) --> ( 171,   1), goal index:      906, cost =
 index:      224, (beta,j): (  99,   7) --> ( 171,   1), goal index:      906, cost =
 index:      225, (beta,j): ( 105,   7) --> ( 171,   1), goal index:      906, cost =
 index:      226, (beta,j): (  99,   7) --> ( 171,   1), goal index:      916, cost =
 index:      227, (beta,j): ( 105,   7) --> ( 171,   1), goal index:      916, cost =
 index:      228, (beta,j): ( 106,   7) --> ( 171,   1), goal index:      911, cost =
 index:      229, (beta,j): (  99,   7) --> ( 171,   1), goal index:      901, cost =
 index:      230, (beta,j): ( 105,   7) --> ( 171,   1), goal index:      901, cost =
 index:      231, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      901, cost =
 index:      232, (beta,j): ( 106,   7) --> ( 171,   1), goal index:      743, cost =
 index:      233, (beta,j): (  99,   7) --> ( 171,   1), goal index:      743, cost =
 index:      234, (beta,j): ( 106,   7) --> ( 171,   1), goal index:      743, cost =
 index:      235, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      743, cost =
 index:      236, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      747, cost =
 index:      237, (beta,j): ( 106,   7) --> ( 171,   1), goal index:      761, cost =
 index:      238, (beta,j): ( 107,   7) --> ( 171,   1), goal index:      761, cost =
 index:      239, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      761, cost =
 index:      240, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      777, cost =
 index:      241, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      787, cost =
 index:      242, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      790, cost =
 index:      243, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      791, cost =
 index:      244, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      792, cost =
 index:      245, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      794, cost =
 index:      246, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      794, cost =
 index:      247, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      794, cost =
 index:      248, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      791, cost =
 index:      249, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      791, cost =
 index:      250, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      791, cost =
 index:      251, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      792, cost =
 index:      252, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      792, cost =
 index:      253, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      792, cost =
 index:      254, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      792, cost =
 index:      255, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      798, cost =
 index:      256, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      798, cost =
 index:      257, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      798, cost =
 index:      258, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      811, cost =
 index:      259, (beta,j): ( 113,   7) --> ( 171,   1), goal index:      826, cost =
 index:      260, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      826, cost =
 index:      261, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      826, cost =
 index:      262, (beta,j): ( 113,   7) --> ( 171,   1), goal index:      826, cost =
 index:      263, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      831, cost =
 index:      264, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      831, cost =
 index:      265, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      831, cost =
 index:      266, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      831, cost =
 index:      267, (beta,j): ( 113,   7) --> ( 171,   1), goal index:      831, cost =
 index:      268, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      818, cost =
 index:      269, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      818, cost =
 index:      270, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      818, cost =
 index:      271, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      818, cost =
 index:      272, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      818, cost =
 index:      273, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      818, cost =
 index:      274, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      829, cost =
 index:      275, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      829, cost =
 index:      276, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      845, cost =
 index:      277, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      845, cost =
 index:      278, (beta,j): ( 111,   7) --> ( 171,   1), goal index:      862, cost =
 index:      279, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      862, cost =
 index:      280, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      876, cost =
 index:      281, (beta,j): ( 113,   7) --> ( 171,   1), goal index:      893, cost =
 index:      282, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      903, cost =
 index:      283, (beta,j): ( 113,   7) --> ( 171,   1), goal index:      903, cost =
 index:      284, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      916, cost =
 index:      285, (beta,j): ( 113,   7) --> ( 171,   1), goal index:      916, cost =
 index:      286, (beta,j): ( 113,   7) --> ( 171,   1), goal index:      930, cost =
 index:      287, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      947, cost =
 index:      288, (beta,j): ( 113,   7) --> ( 171,   1), goal index:      947, cost =
 index:      289, (beta,j): ( 113,   7) --> ( 171,   1), goal index:      960, cost =
 index:      290, (beta,j): ( 113,   7) --> ( 171,   1), goal index:      973, cost =
 index:      291, (beta,j): ( 112,   7) --> ( 171,   1), goal index:      990, cost =
 index:      292, (beta,j): ( 113,   7) --> ( 171,   1), goal index:      990, cost =
 index:      293, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1000, cost =
 index:      294, (beta,j): ( 111,   7) --> ( 171,   1), goal index:     1014, cost =
 index:      295, (beta,j): ( 111,   7) --> ( 171,   1), goal index:     1014, cost =
 index:      296, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1014, cost =
 index:      297, (beta,j): ( 111,   7) --> ( 171,   1), goal index:     1015, cost =
 index:      298, (beta,j): ( 112,   7) --> ( 171,   1), goal index:     1015, cost =
 index:      299, (beta,j): ( 112,   7) --> ( 171,   1), goal index:     1022, cost =
 index:      300, (beta,j): ( 112,   7) --> ( 171,   1), goal index:     1032, cost =
 index:      301, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1042, cost =
 index:      302, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1036, cost =
 index:      303, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1044, cost =
 index:      304, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1053, cost =
 index:      305, (beta,j): ( 114,   7) --> ( 171,   1), goal index:     1062, cost =
 index:      306, (beta,j): ( 115,   7) --> ( 171,   1), goal index:     1078, cost =
 index:      307, (beta,j): ( 115,   7) --> ( 171,   1), goal index:     1077, cost =
 index:      308, (beta,j): ( 115,   7) --> ( 171,   1), goal index:     1089, cost =
 index:      309, (beta,j): ( 115,   7) --> ( 171,   1), goal index:     1100, cost =
 index:      310, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1109, cost =
 index:      311, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1109, cost =
 index:      312, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1109, cost =
 index:      313, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1109, cost =
 index:      314, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1109, cost =
 index:      315, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1121, cost =
 index:      316, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1136, cost =
 index:      317, (beta,j): ( 111,   7) --> ( 171,   1), goal index:     1145, cost =
 index:      318, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1145, cost =
 index:      319, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1153, cost =
 index:      320, (beta,j): ( 111,   7) --> ( 171,   1), goal index:     1168, cost =
 index:      321, (beta,j): ( 111,   7) --> ( 171,   1), goal index:     1168, cost =
 index:      322, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1168, cost =
 index:      323, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1179, cost =
 index:      324, (beta,j): ( 111,   7) --> ( 171,   1), goal index:     1189, cost =
 index:      325, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1189, cost =
 index:      326, (beta,j): ( 113,   7) --> ( 171,   1), goal index:     1204, cost =
 index:      327, (beta,j): ( 112,   7) --> ( 171,   1), goal index:     1215, cost =
