TU LWE Challenge, n =  40, alpha = 0.0450
[0m[1;31m dim = 195, dvol = 302.20 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 2, max_loop = 30, threads = 50, prec = 1.000000e+03, strategy_add_method = 2

 index:    1, (beta,j): (  51,  15) --> ( 194,   1), goal index:    1, cost =
 index:    2, (beta,j): ( 175,  10) --> ( 194,   1), goal index: 1152, cost =
 index:    3, (beta,j): ( 176,  12) --> ( 194,   1), goal index: 1259, cost =
 index:    4, (beta,j): ( 179,   5) --> ( 194,   1), goal index: 1495, cost =
 index:    5, (beta,j): ( 175,  14) --> ( 194,   1), goal index: 1945, cost =
 index:   49, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 2746, cost =
 index:   50, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 2560, cost =
 index:   51, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 2947, cost =
 index:   52, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 2649, cost =
 index:   53, (beta,j): ( 165,  14) --> ( 194,   1), goal index: 2800, cost =
 index:   54, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 2471, cost =
 index:   55, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 2697, cost =
 index:   56, (beta,j): ( 170,   5) --> ( 194,   1), goal index: 2583, cost =
 index:   57, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 2570, cost =
 index:   58, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 2789, cost =
 index:   59, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 2803, cost =
 index:   60, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 2579, cost =
 index:   61, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 3004, cost =
 index:   62, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 2761, cost =
 index:   63, (beta,j): ( 165,  14) --> ( 194,   1), goal index: 2894, cost =
 index:   64, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 2596, cost =
 index:   65, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 2837, cost =
 index:   66, (beta,j): ( 170,   5) --> ( 194,   1), goal index: 2666, cost =
 index:   67, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 2694, cost =
 index:   68, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 2794, cost =
 index:   69, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 2839, cost =
 index:   70, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3057, cost =
 index:   71, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 2755, cost =
 index:   72, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3015, cost =
 index:   73, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3038, cost =
 index:   74, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3113, cost =
 index:   75, (beta,j): ( 172,   8) --> ( 194,   1), goal index: 3147, cost =
 index:   76, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 3383, cost =
 index:   77, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 3217, cost =
 index:   78, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3463, cost =
 index:   79, (beta,j): ( 170,   5) --> ( 194,   1), goal index: 3107, cost =
 index:   80, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 2974, cost =
 index:   81, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3168, cost =
 index:   82, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 3092, cost =
 index:   83, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 3068, cost =
 index:   84, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3209, cost =
 index:   85, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 2996, cost =
 index:   86, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3273, cost =
 index:   87, (beta,j): ( 168,   5) --> ( 194,   1), goal index: 3332, cost =
 index:   88, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3333, cost =
 index:   89, (beta,j): ( 168,   4) --> ( 194,   1), goal index: 3258, cost =
 index:   90, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 3490, cost =
 index:   91, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3309, cost =
 index:   92, (beta,j): ( 171,   4) --> ( 194,   1), goal index: 3118, cost =
 index:   93, (beta,j): ( 167,  14) --> ( 194,   1), goal index: 3513, cost =
 index:   94, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3439, cost =
 index:   95, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3168, cost =
 index:   96, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3353, cost =
 index:   97, (beta,j): ( 169,  11) --> ( 194,   1), goal index: 3218, cost =
 index:   98, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3546, cost =
 index:   99, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3336, cost =
 index:  100, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3097, cost =
 index:  101, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 3024, cost =
 index:  102, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 3072, cost =
 index:  103, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3070, cost =
 index:  104, (beta,j): ( 168,   6) --> ( 194,   1), goal index: 3125, cost =
 index:  105, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3262, cost =
 index:  106, (beta,j): ( 167,  14) --> ( 194,   1), goal index: 3146, cost =
 index:  107, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3305, cost =
 index:  108, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3343, cost =
 index:  109, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3089, cost =
 index:  110, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3308, cost =
 index:  111, (beta,j): ( 169,  11) --> ( 194,   1), goal index: 3212, cost =
 index:  112, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 3432, cost =
 index:  113, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 3220, cost =
 index:  114, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3252, cost =
 index:  115, (beta,j): ( 167,  14) --> ( 194,   1), goal index: 2930, cost =
 index:  116, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3095, cost =
 index:  117, (beta,j): ( 171,   8) --> ( 194,   1), goal index: 3224, cost =
 index:  118, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3148, cost =
 index:  119, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 3089, cost =
 index:  120, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3006, cost =
 index:  121, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3061, cost =
 index:  122, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 2994, cost =
 index:  123, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 2785, cost =
 index:  124, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3066, cost =
 index:  125, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3401, cost =
 index:  126, (beta,j): ( 167,  14) --> ( 194,   1), goal index: 2968, cost =
 index:  127, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3029, cost =
 index:  128, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 3030, cost =
 index:  129, (beta,j): ( 169,  11) --> ( 194,   1), goal index: 2953, cost =
 index:  130, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 3225, cost =
 index:  131, (beta,j): ( 172,  12) --> ( 194,   1), goal index: 2961, cost =
 index:  132, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 2772, cost =
 index:  133, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 2776, cost =
 index:  134, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3103, cost =
 index:  135, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3302, cost =
 index:  136, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3222, cost =
 index:  137, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3060, cost =
 index:  138, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3337, cost =
 index:  139, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3400, cost =
 index:  140, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3309, cost =
 index:  141, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 3272, cost =
 index:  142, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3213, cost =
 index:  143, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 3271, cost =
 index:  144, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 3282, cost =
 index:  145, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3315, cost =
 index:  146, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3083, cost =
 index:  147, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3311, cost =
 index:  148, (beta,j): ( 170,   4) --> ( 194,   1), goal index: 3432, cost =
 index:  149, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3535, cost =
 index:  150, (beta,j): ( 166,  14) --> ( 194,   1), goal index: 3595, cost =
 index:  151, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3457, cost =
 index:  152, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 3501, cost =
 index:  153, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3364, cost =
 index:  154, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3067, cost =
 index:  155, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3291, cost =
 index:  156, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3153, cost =
 index:  157, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3212, cost =
 index:  158, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3158, cost =
 index:  159, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 3257, cost =
 index:  160, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 3099, cost =
 index:  161, (beta,j): ( 170,   5) --> ( 194,   1), goal index: 3054, cost =
 index:  162, (beta,j): ( 172,  12) --> ( 194,   1), goal index: 3101, cost =
 index:  163, (beta,j): ( 173,  12) --> ( 194,   1), goal index: 2922, cost =
 index:  164, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3190, cost =
 index:  165, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3264, cost =
 index:  166, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3284, cost =
 index:  167, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3170, cost =
 index:  168, (beta,j): ( 173,  13) --> ( 194,   1), goal index: 3193, cost =
 index:  169, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3294, cost =
 index:  170, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3324, cost =
 index:  171, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3121, cost =
 index:  172, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3433, cost =
 index:  173, (beta,j): ( 171,  14) --> ( 194,   1), goal index: 3303, cost =
 index:  174, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3148, cost =
 index:  175, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 3280, cost =
 index:  176, (beta,j): ( 168,  13) --> ( 194,   1), goal index: 3403, cost =
 index:  177, (beta,j): ( 168,   8) --> ( 194,   1), goal index: 3432, cost =
 index:  178, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3242, cost =
 index:  179, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3499, cost =
 index:  180, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3379, cost =
 index:  181, (beta,j): ( 169,  11) --> ( 194,   1), goal index: 3356, cost =
 index:  182, (beta,j): ( 169,  11) --> ( 194,   1), goal index: 3570, cost =
 index:  183, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 3631, cost =
 index:  184, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 3387, cost =
 index:  185, (beta,j): ( 170,   5) --> ( 194,   1), goal index: 3307, cost =
 index:  186, (beta,j): ( 172,  12) --> ( 194,   1), goal index: 3298, cost =
 index:  187, (beta,j): ( 171,   6) --> ( 194,   1), goal index: 3048, cost =
 index:  188, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3352, cost =
 index:  189, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3434, cost =
 index:  190, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3487, cost =
 index:  191, (beta,j): ( 169,  11) --> ( 194,   1), goal index: 3513, cost =
 index:  192, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 3715, cost =
 index:  193, (beta,j): ( 170,   9) --> ( 194,   1), goal index: 3351, cost =
 index:  194, (beta,j): ( 170,   5) --> ( 194,   1), goal index: 3241, cost =
 index:  195, (beta,j): ( 172,  12) --> ( 194,   1), goal index: 3468, cost =
 index:  196, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3193, cost =
 index:  197, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3297, cost =
 index:  198, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3260, cost =
 index:  199, (beta,j): ( 172,  14) --> ( 194,   1), goal index: 3259, cost =
 index:  200, (beta,j): ( 172,   9) --> ( 194,   1), goal index: 2795, cost =
 index:  201, (beta,j): ( 169,  11) --> ( 194,   1), goal index: 3175, cost =
 index:  202, (beta,j): ( 173,  13) --> ( 194,   1), goal index: 3368, cost =
 index:  203, (beta,j): ( 172,  11) --> ( 194,   1), goal index: 3405, cost =
 index:  204, (beta,j): ( 172,  12) --> ( 194,   1), goal index: 3407, cost =
 index:  205, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3462, cost =
 index:  206, (beta,j): ( 170,   4) --> ( 194,   1), goal index: 3457, cost =
 index:  207, (beta,j): ( 171,  14) --> ( 194,   1), goal index: 3737, cost =
 index:  208, (beta,j): ( 171,  13) --> ( 194,   1), goal index: 3399, cost =
 index:  209, (beta,j): ( 171,  12) --> ( 194,   1), goal index: 3200, cost =
 index:  210, (beta,j): ( 169,  11) --> ( 194,   1), goal index: 3438, cost =
 index:  211, (beta,j): ( 171,  12) --> ( 194,   1), goal index: 3510, cost =
 index:  212, (beta,j): ( 168,   7) --> ( 194,   1), goal index: 3527, cost =
 index:  213, (beta,j): ( 168,   5) --> ( 194,   1), goal index: 3125, cost =
 index:  214, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 3345, cost =
 index:  215, (beta,j): ( 171,  14) --> ( 194,   1), goal index: 3384, cost =
 index:  216, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3018, cost =
 index:  217, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3239, cost =
 index:  218, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3358, cost =
 index:  219, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3518, cost =
 index:  220, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3708, cost =
 index:  221, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 3826, cost =
 index:  222, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3552, cost =
 index:  223, (beta,j): ( 169,   7) --> ( 194,   1), goal index: 3636, cost =
 index:  224, (beta,j): ( 170,   5) --> ( 194,   1), goal index: 3844, cost =
 index:  225, (beta,j): ( 169,   7) --> ( 194,   1), goal index: 3815, cost =
 index:  226, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 4006, cost =
 index:  227, (beta,j): ( 171,  14) --> ( 194,   1), goal index: 3837, cost =
 index:  228, (beta,j): ( 169,   9) --> ( 194,   1), goal index: 3329, cost =
 index:  229, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3563, cost =
 index:  230, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3397, cost =
 index:  231, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3289, cost =
 index:  232, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 3341, cost =
 index:  233, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3415, cost =
 index:  234, (beta,j): ( 170,  11) --> ( 194,   1), goal index: 3604, cost =
 index:  235, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 3824, cost =
 index:  236, (beta,j): ( 169,   7) --> ( 194,   1), goal index: 3784, cost =
 index:  237, (beta,j): ( 171,  10) --> ( 194,   1), goal index: 3919, cost =
 index:  238, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3809, cost =
 index:  239, (beta,j): ( 169,   9) --> ( 194,   1), goal index: 3846, cost =
 index:  240, (beta,j): ( 170,  12) --> ( 194,   1), goal index: 3807, cost =
 index:  241, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3830, cost =
 index:  242, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3588, cost =
 index:  243, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3537, cost =
 index:  244, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3464, cost =
 index:  245, (beta,j): ( 168,   6) --> ( 194,   1), goal index: 3479, cost =
 index:  246, (beta,j): ( 172,   8) --> ( 194,   1), goal index: 3341, cost =
 index:  247, (beta,j): ( 170,  11) --> ( 194,   1), goal index: 3586, cost =
 index:  248, (beta,j): ( 170,   5) --> ( 194,   1), goal index: 3834, cost =
 index:  249, (beta,j): ( 168,   4) --> ( 194,   1), goal index: 3780, cost =
 index:  250, (beta,j): ( 170,  12) --> ( 194,   1), goal index: 3963, cost =
 index:  251, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3951, cost =
 index:  252, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3499, cost =
 index:  253, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3299, cost =
 index:  254, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3489, cost =
 index:  255, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3461, cost =
 index:  256, (beta,j): ( 169,   4) --> ( 194,   1), goal index: 3576, cost =
 index:  257, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3377, cost =
 index:  258, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3449, cost =
 index:  259, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 3261, cost =
 index:  260, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3429, cost =
 index:  261, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 3711, cost =
 index:  262, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3589, cost =
 index:  263, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3434, cost =
 index:  264, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3394, cost =
 index:  265, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3416, cost =
 index:  266, (beta,j): ( 169,   9) --> ( 194,   1), goal index: 3441, cost =
 index:  267, (beta,j): ( 171,   6) --> ( 194,   1), goal index: 3649, cost =
 index:  268, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3695, cost =
 index:  269, (beta,j): ( 171,  12) --> ( 194,   1), goal index: 3753, cost =
 index:  270, (beta,j): ( 169,   7) --> ( 194,   1), goal index: 3418, cost =
 index:  271, (beta,j): ( 169,   7) --> ( 194,   1), goal index: 3681, cost =
 index:  272, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 3981, cost =
 index:  273, (beta,j): ( 172,  12) --> ( 194,   1), goal index: 3580, cost =
 index:  274, (beta,j): ( 169,   5) --> ( 194,   1), goal index: 3249, cost =
 index:  275, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3588, cost =
 index:  276, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3455, cost =
 index:  277, (beta,j): ( 170,   4) --> ( 194,   1), goal index: 3371, cost =
 index:  278, (beta,j): ( 169,   9) --> ( 194,   1), goal index: 3625, cost =
 index:  279, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3791, cost =
 index:  280, (beta,j): ( 168,   6) --> ( 194,   1), goal index: 3616, cost =
 index:  281, (beta,j): ( 170,   7) --> ( 194,   1), goal index: 3468, cost =
 index:  282, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 3681, cost =
 index:  283, (beta,j): ( 171,  12) --> ( 194,   1), goal index: 3459, cost =
 index:  284, (beta,j): ( 171,  10) --> ( 194,   1), goal index: 3432, cost =
 index:  285, (beta,j): ( 168,   5) --> ( 194,   1), goal index: 3692, cost =
 index:  286, (beta,j): ( 170,  12) --> ( 194,   1), goal index: 3788, cost =
 index:  287, (beta,j): ( 168,   4) --> ( 194,   1), goal index: 3726, cost =
 index:  288, (beta,j): ( 169,   9) --> ( 194,   1), goal index: 4005, cost =
 index:  289, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 4072, cost =
 index:  290, (beta,j): ( 171,   9) --> ( 194,   1), goal index: 3806, cost =
 index:  291, (beta,j): ( 171,  13) --> ( 194,   1), goal index: 3691, cost =
 index:  292, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3336, cost =
 index:  293, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3397, cost =
 index:  294, (beta,j): ( 170,   5) --> ( 194,   1), goal index: 3491, cost =
 index:  295, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3298, cost =
 index:  296, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 3288, cost =
 index:  297, (beta,j): ( 171,   8) --> ( 194,   1), goal index: 3265, cost =
 index:  298, (beta,j): ( 172,  10) --> ( 194,   1), goal index: 3336, cost =
 index:  299, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3161, cost =
 index:  300, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3219, cost =
 index:  301, (beta,j): ( 171,  13) --> ( 194,   1), goal index: 3469, cost =
 index:  302, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3242, cost =
 index:  303, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3252, cost =
 index:  304, (beta,j): ( 170,   7) --> ( 194,   1), goal index: 3415, cost =
 index:  305, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 3666, cost =
 index:  306, (beta,j): ( 169,  12) --> ( 194,   1), goal index: 3363, cost =
 index:  307, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 3423, cost =
 index:  308, (beta,j): ( 170,   4) --> ( 194,   1), goal index: 3310, cost =
 index:  309, (beta,j): ( 169,   9) --> ( 194,   1), goal index: 3358, cost =
 index:  310, (beta,j): ( 170,   8) --> ( 194,   1), goal index: 3723, cost =
 index:  311, (beta,j): ( 169,   7) --> ( 194,   1), goal index: 3412, cost =
 index:  312, (beta,j): ( 169,   9) --> ( 194,   1), goal index: 3778, cost =
 index:  313, (beta,j): ( 169,   9) --> ( 194,   1), goal index: 3968, cost =
 index:  314, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3770, cost =
 index:  315, (beta,j): ( 169,   8) --> ( 194,   1), goal index: 3605, cost =
 index:  316, (beta,j): ( 169,   7) --> ( 194,   1), goal index: 3713, cost =
 index:  317, (beta,j): ( 170,   7) --> ( 194,   1), goal index: 3921, cost =
 index:  318, (beta,j): ( 169,  13) --> ( 194,   1), goal index: 4102, cost =
 index:  319, (beta,j): ( 172,  13) --> ( 194,   1), goal index: 3660, cost =
 index:  320, (beta,j): ( 168,   5) --> ( 194,   1), goal index: 3147, cost =
 index:  321, (beta,j): ( 168,   4) --> ( 194,   1), goal index: 3550, cost =
