TU LWE Challenge, n =  40, alpha = 0.0450
[0m[1;31m dim = 195, dvol = 302.20 [0m
Generate gs-lengths by GSA assumption. Attack Estimation via simulation + probabilistic model (EnumBS in parallel)
gap = 1, J = 15, J_gap = 1, cost_model = 2, max_loop = 10, threads = 50

 index:    1, (beta,j): (  51,  15) --> ( 194,   1), goal index:    1, cost =
 index:    2, (beta,j): (  51,   5) --> ( 194,   1), goal index:  664, cost =
 index:    3, (beta,j): (  51,   6) --> ( 194,   1), goal index:  678, cost =
 index:    4, (beta,j): (  51,   7) --> ( 194,   1), goal index:  689, cost =
 index:    5, (beta,j): (  51,   8) --> ( 194,   1), goal index:  702, cost =
 index:   37, (beta,j): (  51,  14) --> ( 194,   1), goal index:  744, cost =
 index:   38, (beta,j): (  51,  13) --> ( 194,   1), goal index:  739, cost =
 index:   39, (beta,j): (  56,  15) --> ( 194,   1), goal index:  744, cost =
 index:   40, (beta,j): (  52,   8) --> ( 194,   1), goal index:  746, cost =
 index:   41, (beta,j): (  53,   9) --> ( 194,   1), goal index:  747, cost =
 index:   42, (beta,j): (  51,   7) --> ( 194,   1), goal index:  746, cost =
 index:   43, (beta,j): (  53,  10) --> ( 194,   1), goal index:  744, cost =
 index:   44, (beta,j): (  55,  12) --> ( 194,   1), goal index:  757, cost =
 index:   45, (beta,j): (  51,   8) --> ( 194,   1), goal index:  749, cost =
 index:   46, (beta,j): (  53,  11) --> ( 194,   1), goal index:  749, cost =
 index:   47, (beta,j): (  52,  10) --> ( 194,   1), goal index:  754, cost =
 index:   48, (beta,j): (  51,   6) --> ( 194,   1), goal index:  750, cost =
 index:   49, (beta,j): (  54,  13) --> ( 194,   1), goal index:  750, cost =
 index:   50, (beta,j): (  51,   9) --> ( 194,   1), goal index:  744, cost =
 index:   51, (beta,j): (  51,  10) --> ( 194,   1), goal index:  755, cost =
 index:   52, (beta,j): (  52,   8) --> ( 194,   1), goal index:  747, cost =
 index:   53, (beta,j): (  51,  14) --> ( 194,   1), goal index:  747, cost =
 index:   54, (beta,j): (  57,  14) --> ( 194,   1), goal index:  756, cost =
 index:   55, (beta,j): (  51,  13) --> ( 194,   1), goal index:  748, cost =
 index:   56, (beta,j): (  51,   7) --> ( 194,   1), goal index:  757, cost =
 index:   57, (beta,j): (  53,  10) --> ( 194,   1), goal index:  743, cost =
 index:   58, (beta,j): (  51,   6) --> ( 194,   1), goal index:  750, cost =
 index:   59, (beta,j): (  60,   1) --> ( 194,   1), goal index:  745, cost =
 index:   60, (beta,j): (  51,   8) --> ( 194,   1), goal index:  754, cost =
 index:   61, (beta,j): (  53,  11) --> ( 194,   1), goal index:  751, cost =
 index:   62, (beta,j): (  54,  12) --> ( 194,   1), goal index:  751, cost =
 index:   63, (beta,j): (  52,  10) --> ( 194,   1), goal index:  762, cost =
 index:   64, (beta,j): (  52,   8) --> ( 194,   1), goal index:  760, cost =
 index:   65, (beta,j): (  53,   9) --> ( 194,   1), goal index:  761, cost =
 index:   66, (beta,j): (  52,  11) --> ( 194,   1), goal index:  759, cost =
 index:   67, (beta,j): (  53,  13) --> ( 194,   1), goal index:  762, cost =
 index:   68, (beta,j): (  51,  10) --> ( 194,   1), goal index:  756, cost =
 index:   69, (beta,j): (  54,  11) --> ( 194,   1), goal index:  759, cost =
 index:   70, (beta,j): (  51,  14) --> ( 194,   1), goal index:  749, cost =
 index:   71, (beta,j): (  52,  13) --> ( 194,   1), goal index:  759, cost =
 index:   72, (beta,j): (  51,  11) --> ( 194,   1), goal index:  764, cost =
 index:   73, (beta,j): (  67,   1) --> ( 194,   1), goal index:  763, cost =
 index:   74, (beta,j): (  51,  13) --> ( 194,   1), goal index:  753, cost =
 index:   75, (beta,j): (  51,  12) --> ( 194,   1), goal index:  758, cost =
 index:   76, (beta,j): (  53,  11) --> ( 194,   1), goal index:  764, cost =
 index:   77, (beta,j): (  54,  14) --> ( 194,   1), goal index:  770, cost =
 index:   78, (beta,j): (  52,  10) --> ( 194,   1), goal index:  764, cost =
 index:   79, (beta,j): (  54,  13) --> ( 194,   1), goal index:  767, cost =
 index:   80, (beta,j): (  51,   7) --> ( 194,   1), goal index:  762, cost =
 index:   81, (beta,j): (  53,  14) --> ( 194,   1), goal index:  768, cost =
 index:   82, (beta,j): (  53,  10) --> ( 194,   1), goal index:  762, cost =
 index:   83, (beta,j): (  52,  11) --> ( 194,   1), goal index:  763, cost =
 index:   84, (beta,j): (  53,  13) --> ( 194,   1), goal index:  750, cost =
 index:   85, (beta,j): (  51,   9) --> ( 194,   1), goal index:  750, cost =
 index:   86, (beta,j): (  51,  10) --> ( 194,   1), goal index:  752, cost =
 index:   87, (beta,j): (  51,   8) --> ( 194,   1), goal index:  760, cost =
 index:   88, (beta,j): (  53,  11) --> ( 194,   1), goal index:  758, cost =
 index:   89, (beta,j): (  51,  14) --> ( 194,   1), goal index:  759, cost =
 index:   90, (beta,j): (  52,  12) --> ( 194,   1), goal index:  754, cost =
 index:   91, (beta,j): (  51,  11) --> ( 194,   1), goal index:  756, cost =
 index:   92, (beta,j): (  52,  10) --> ( 194,   1), goal index:  752, cost =
 index:   93, (beta,j): (  54,  13) --> ( 194,   1), goal index:  751, cost =
 index:   94, (beta,j): (  51,  13) --> ( 194,   1), goal index:  751, cost =
 index:   95, (beta,j): (  83,  15) --> ( 194,   1), goal index:  753, cost =
 index:   96, (beta,j): (  51,  12) --> ( 194,   1), goal index:  763, cost =
 index:   97, (beta,j): (  84,  15) --> ( 194,   1), goal index:  757, cost =
 index:   98, (beta,j): (  51,   8) --> ( 194,   1), goal index:  766, cost =
 index:   99, (beta,j): (  52,  11) --> ( 194,   1), goal index:  754, cost =
 index:  100, (beta,j): (  53,  11) --> ( 194,   1), goal index:  749, cost =
 index:  101, (beta,j): (  51,   9) --> ( 194,   1), goal index:  754, cost =
 index:  102, (beta,j): (  54,  14) --> ( 194,   1), goal index:  757, cost =
 index:  103, (beta,j): (  51,  10) --> ( 194,   1), goal index:  759, cost =
 index:  104, (beta,j): (  52,  10) --> ( 194,   1), goal index:  751, cost =
 index:  105, (beta,j): (  88,   1) --> ( 194,   1), goal index:  758, cost =
 index:  106, (beta,j): (  89,  15) --> ( 194,   1), goal index:  757, cost =
 index:  107, (beta,j): (  51,  14) --> ( 194,   1), goal index:  759, cost =
 index:  108, (beta,j): (  52,  12) --> ( 194,   1), goal index:  745, cost =
 index:  109, (beta,j): (  53,  14) --> ( 194,   1), goal index:  749, cost =
 index:  110, (beta,j): (  51,  11) --> ( 194,   1), goal index:  760, cost =
 index:  111, (beta,j): (  53,  12) --> ( 194,   1), goal index:  737, cost =
 index:  112, (beta,j): (  52,  10) --> ( 194,   1), goal index:  758, cost =
 index:  113, (beta,j): (  52,  11) --> ( 194,   1), goal index:  753, cost =
 index:  114, (beta,j): (  51,  13) --> ( 194,   1), goal index:  748, cost =
 index:  115, (beta,j): (  51,   9) --> ( 194,   1), goal index:  738, cost =
 index:  116, (beta,j): (  52,  14) --> ( 194,   1), goal index:  755, cost =
 index:  117, (beta,j): (  51,  12) --> ( 194,   1), goal index:  746, cost =
 index:  118, (beta,j): (  91,   2) --> ( 194,   1), goal index:  737, cost =
 index:  119, (beta,j): (  91,   1) --> ( 194,   1), goal index:  759, cost =
 index:  120, (beta,j): (  51,  10) --> ( 194,   1), goal index:  762, cost =
 index:  121, (beta,j): (  51,  10) --> ( 194,   1), goal index:  737, cost =
 index:  122, (beta,j): (  51,  10) --> ( 194,   1), goal index:  747, cost =
 index:  123, (beta,j): (  52,  12) --> ( 194,   1), goal index:  750, cost =
 index:  124, (beta,j): (  51,  10) --> ( 194,   1), goal index:  752, cost =
 index:  125, (beta,j): (  51,  14) --> ( 194,   1), goal index:  750, cost =
 index:  126, (beta,j): (  51,  11) --> ( 194,   1), goal index:  748, cost =
 index:  127, (beta,j): (  51,  10) --> ( 194,   1), goal index:  753, cost =
 index:  128, (beta,j): (  51,  13) --> ( 194,   1), goal index:  755, cost =
 index:  129, (beta,j): (  51,  12) --> ( 194,   1), goal index:  752, cost =
 index:  130, (beta,j): (  51,  13) --> ( 194,   1), goal index:  752, cost =
 index:  131, (beta,j): (  51,  13) --> ( 194,   1), goal index:  749, cost =
 index:  132, (beta,j): (  51,  13) --> ( 194,   1), goal index:  749, cost =
 index:  133, (beta,j): (  51,  13) --> ( 194,   1), goal index:  753, cost =
 index:  134, (beta,j): (  51,  12) --> ( 194,   1), goal index:  750, cost =
 index:  135, (beta,j): (  51,  12) --> ( 194,   1), goal index:  736, cost =
 index:  136, (beta,j): (  51,  12) --> ( 194,   1), goal index:  744, cost =
 index:  137, (beta,j): (  52,  12) --> ( 194,   1), goal index:  739, cost =
 index:  138, (beta,j): (  51,  10) --> ( 194,   1), goal index:  740, cost =
 index:  139, (beta,j): (  51,  10) --> ( 194,   1), goal index:  739, cost =
 index:  140, (beta,j): (  51,  11) --> ( 194,   1), goal index:  738, cost =
 index:  141, (beta,j): (  51,  14) --> ( 194,   1), goal index:  709, cost =
 index:  142, (beta,j): (  51,  11) --> ( 194,   1), goal index:  698, cost =
 index:  143, (beta,j): (  51,  11) --> ( 194,   1), goal index:  704, cost =
 index:  144, (beta,j): (  51,  13) --> ( 194,   1), goal index:  700, cost =
 index:  145, (beta,j): (  51,  12) --> ( 194,   1), goal index:  709, cost =
 index:  146, (beta,j): (  51,  13) --> ( 194,   1), goal index:  705, cost =
 index:  147, (beta,j): (  51,  13) --> ( 194,   1), goal index:  710, cost =
 index:  148, (beta,j): (  51,  13) --> ( 194,   1), goal index:  710, cost =
 index:  149, (beta,j): (  51,  13) --> ( 194,   1), goal index:  709, cost =
 index:  150, (beta,j): (  51,  13) --> ( 194,   1), goal index:  704, cost =
 index:  151, (beta,j): (  51,  12) --> ( 194,   1), goal index:  707, cost =
 index:  152, (beta,j): ( 116,   1) --> ( 194,   1), goal index:  693, cost =
 index:  153, (beta,j): (  51,  12) --> ( 194,   1), goal index:  707, cost =
 index:  154, (beta,j): (  51,  12) --> ( 194,   1), goal index:  687, cost =
 index:  155, (beta,j): (  51,  13) --> ( 194,   1), goal index:  690, cost =
 index:  156, (beta,j): (  51,  14) --> ( 194,   1), goal index:  705, cost =
 index:  157, (beta,j): (  51,  11) --> ( 194,   1), goal index:  711, cost =
 index:  158, (beta,j): (  51,  12) --> ( 194,   1), goal index:  718, cost =
 index:  159, (beta,j): (  51,  13) --> ( 194,   1), goal index:  730, cost =
 index:  160, (beta,j): (  51,  12) --> ( 194,   1), goal index:  738, cost =
 index:  161, (beta,j): (  51,  13) --> ( 194,   1), goal index:  734, cost =
 index:  162, (beta,j): ( 126,  15) --> ( 194,   1), goal index:  745, cost =
 index:  163, (beta,j): (  51,  13) --> ( 194,   1), goal index:  765, cost =
 index:  164, (beta,j): (  51,  13) --> ( 194,   1), goal index:  741, cost =
 index:  165, (beta,j): (  51,  12) --> ( 194,   1), goal index:  740, cost =
 index:  166, (beta,j): (  51,  12) --> ( 194,   1), goal index:  708, cost =
 index:  167, (beta,j): (  51,  12) --> ( 194,   1), goal index:  716, cost =
 index:  168, (beta,j): ( 132,   2) --> ( 194,   1), goal index:  723, cost =
 index:  169, (beta,j): (  51,  11) --> ( 194,   1), goal index:  743, cost =
 index:  170, (beta,j): (  51,  12) --> ( 194,   1), goal index:  714, cost =
 index:  171, (beta,j): (  51,  13) --> ( 194,   1), goal index:  718, cost =
 index:  172, (beta,j): (  51,  12) --> ( 194,   1), goal index:  718, cost =
 index:  173, (beta,j): (  51,  13) --> ( 194,   1), goal index:  725, cost =
 index:  174, (beta,j): (  51,  13) --> ( 194,   1), goal index:  725, cost =
 index:  175, (beta,j): (  51,  13) --> ( 194,   1), goal index:  728, cost =
 index:  176, (beta,j): (  51,  13) --> ( 194,   1), goal index:  734, cost =
 index:  177, (beta,j): (  51,  13) --> ( 194,   1), goal index:  734, cost =
 index:  178, (beta,j): (  51,  12) --> ( 194,   1), goal index:  736, cost =
 index:  179, (beta,j): ( 141,   1) --> ( 194,   1), goal index:  724, cost =
 index:  180, (beta,j): ( 142,   1) --> ( 194,   1), goal index:  772, cost =
 index:  181, (beta,j): (  51,  13) --> ( 194,   1), goal index:  772, cost =
 index:  182, (beta,j): (  51,  12) --> ( 194,   1), goal index:  721, cost =
 index:  183, (beta,j): (  51,  13) --> ( 194,   1), goal index:  726, cost =
 index:  184, (beta,j): (  51,  13) --> ( 194,   1), goal index:  734, cost =
 index:  185, (beta,j): (  51,  13) --> ( 194,   1), goal index:  737, cost =
 index:  186, (beta,j): (  51,  13) --> ( 194,   1), goal index:  733, cost =
 index:  187, (beta,j): (  51,  13) --> ( 194,   1), goal index:  741, cost =
 index:  188, (beta,j): ( 149,   3) --> ( 194,   1), goal index:  749, cost =
 index:  189, (beta,j): ( 150,   4) --> ( 194,   1), goal index:  778, cost =
 index:  190, (beta,j): ( 150,   3) --> ( 194,   1), goal index:  795, cost =
 index:  191, (beta,j): ( 150,   1) --> ( 194,   1), goal index:  790, cost =
 index:  192, (beta,j): (  51,  13) --> ( 194,   1), goal index:  795, cost =
 index:  193, (beta,j): (  51,  12) --> ( 194,   1), goal index:  748, cost =
 index:  194, (beta,j): (  51,  12) --> ( 194,   1), goal index:  725, cost =
 index:  195, (beta,j): (  51,  12) --> ( 194,   1), goal index:  728, cost =
 index:  196, (beta,j): (  51,  12) --> ( 194,   1), goal index:  727, cost =
 index:  197, (beta,j): ( 154,   9) --> ( 194,   1), goal index:  732, cost =
 index:  198, (beta,j): ( 154,   7) --> ( 194,   1), goal index:  765, cost =
 index:  199, (beta,j): ( 154,   6) --> ( 194,   1), goal index:  763, cost =
 index:  200, (beta,j): ( 154,   4) --> ( 194,   1), goal index:  758, cost =
 index:  201, (beta,j): ( 154,   3) --> ( 194,   1), goal index:  728, cost =
 index:  202, (beta,j): ( 154,   2) --> ( 194,   1), goal index:  724, cost =
 index:  203, (beta,j): ( 154,   2) --> ( 194,   1), goal index:  739, cost =
 index:  204, (beta,j): ( 154,   1) --> ( 194,   1), goal index:  745, cost =
 index:  205, (beta,j): ( 155,  15) --> ( 194,   1), goal index:  751, cost =
 index:  206, (beta,j): ( 155,   2) --> ( 194,   1), goal index:  756, cost =
 index:  207, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  756, cost =
 index:  208, (beta,j): ( 156,   4) --> ( 194,   1), goal index:  781, cost =
 index:  209, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  766, cost =
 index:  210, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  772, cost =
 index:  211, (beta,j): ( 157,  12) --> ( 194,   1), goal index:  781, cost =
 index:  212, (beta,j): ( 157,   5) --> ( 194,   1), goal index:  778, cost =
 index:  213, (beta,j): ( 157,  14) --> ( 194,   1), goal index:  780, cost =
 index:  214, (beta,j): ( 155,   5) --> ( 194,   1), goal index:  784, cost =
 index:  215, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  790, cost =
 index:  216, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  789, cost =
 index:  217, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  791, cost =
 index:  218, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  785, cost =
 index:  219, (beta,j): ( 156,  10) --> ( 194,   1), goal index:  784, cost =
 index:  220, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  787, cost =
 index:  221, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  781, cost =
 index:  222, (beta,j): ( 156,  11) --> ( 194,   1), goal index:  786, cost =
 index:  223, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  785, cost =
 index:  224, (beta,j): ( 155,   6) --> ( 194,   1), goal index:  780, cost =
 index:  225, (beta,j): ( 155,   8) --> ( 194,   1), goal index:  782, cost =
 index:  226, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  769, cost =
 index:  227, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  770, cost =
 index:  228, (beta,j): ( 157,  12) --> ( 194,   1), goal index:  795, cost =
 index:  229, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  794, cost =
 index:  230, (beta,j): ( 157,  13) --> ( 194,   1), goal index:  795, cost =
 index:  231, (beta,j): ( 157,  14) --> ( 194,   1), goal index:  792, cost =
 index:  232, (beta,j): ( 157,  12) --> ( 194,   1), goal index:  791, cost =
 index:  233, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  789, cost =
 index:  234, (beta,j): ( 156,   9) --> ( 194,   1), goal index:  788, cost =
 index:  235, (beta,j): ( 155,  10) --> ( 194,   1), goal index:  807, cost =
 index:  236, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  790, cost =
 index:  237, (beta,j): ( 155,  12) --> ( 194,   1), goal index:  767, cost =
 index:  238, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  789, cost =
 index:  239, (beta,j): ( 156,  15) --> ( 194,   1), goal index:  792, cost =
 index:  240, (beta,j): ( 155,  10) --> ( 194,   1), goal index:  799, cost =
 index:  241, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  785, cost =
 index:  242, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  795, cost =
 index:  243, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  781, cost =
 index:  244, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  777, cost =
 index:  245, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  800, cost =
 index:  246, (beta,j): ( 156,  11) --> ( 194,   1), goal index:  808, cost =
 index:  247, (beta,j): ( 155,   7) --> ( 194,   1), goal index:  806, cost =
 index:  248, (beta,j): ( 156,  10) --> ( 194,   1), goal index:  803, cost =
 index:  249, (beta,j): ( 155,   6) --> ( 194,   1), goal index:  808, cost =
 index:  250, (beta,j): ( 155,  13) --> ( 194,   1), goal index:  809, cost =
 index:  251, (beta,j): ( 155,  10) --> ( 194,   1), goal index:  788, cost =
 index:  252, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  779, cost =
 index:  253, (beta,j): ( 155,   6) --> ( 194,   1), goal index:  787, cost =
 index:  254, (beta,j): ( 155,   7) --> ( 194,   1), goal index:  802, cost =
 index:  255, (beta,j): ( 155,  10) --> ( 194,   1), goal index:  814, cost =
 index:  256, (beta,j): ( 155,   4) --> ( 194,   1), goal index:  812, cost =
 index:  257, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  815, cost =
 index:  258, (beta,j): ( 155,   7) --> ( 194,   1), goal index:  780, cost =
 index:  259, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  789, cost =
 index:  260, (beta,j): ( 155,  10) --> ( 194,   1), goal index:  773, cost =
 index:  261, (beta,j): ( 155,  13) --> ( 194,   1), goal index:  782, cost =
 index:  262, (beta,j): ( 155,  12) --> ( 194,   1), goal index:  787, cost =
 index:  263, (beta,j): ( 155,  10) --> ( 194,   1), goal index:  804, cost =
 index:  264, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  797, cost =
 index:  265, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  809, cost =
 index:  266, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  810, cost =
 index:  267, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  798, cost =
 index:  268, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  805, cost =
 index:  269, (beta,j): ( 155,   7) --> ( 194,   1), goal index:  808, cost =
 index:  270, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  803, cost =
 index:  271, (beta,j): ( 155,  13) --> ( 194,   1), goal index:  787, cost =
 index:  272, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  789, cost =
 index:  273, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  809, cost =
 index:  274, (beta,j): ( 156,   6) --> ( 194,   1), goal index:  803, cost =
 index:  275, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  799, cost =
 index:  276, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  807, cost =
 index:  277, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  794, cost =
 index:  278, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  793, cost =
 index:  279, (beta,j): ( 155,   7) --> ( 194,   1), goal index:  794, cost =
 index:  280, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  812, cost =
 index:  281, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  807, cost =
 index:  282, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  788, cost =
 index:  283, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  788, cost =
 index:  284, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  797, cost =
 index:  285, (beta,j): ( 155,   8) --> ( 194,   1), goal index:  801, cost =
 index:  286, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  813, cost =
 index:  287, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  804, cost =
 index:  288, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  793, cost =
 index:  289, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  790, cost =
 index:  290, (beta,j): ( 155,   7) --> ( 194,   1), goal index:  786, cost =
 index:  291, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  802, cost =
 index:  292, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  781, cost =
 index:  293, (beta,j): ( 155,  10) --> ( 194,   1), goal index:  783, cost =
 index:  294, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  801, cost =
 index:  295, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  798, cost =
 index:  296, (beta,j): ( 155,   5) --> ( 194,   1), goal index:  793, cost =
 index:  297, (beta,j): ( 155,  14) --> ( 194,   1), goal index:  796, cost =
 index:  298, (beta,j): ( 155,  13) --> ( 194,   1), goal index:  819, cost =
 index:  299, (beta,j): ( 155,  12) --> ( 194,   1), goal index:  813, cost =
 index:  300, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  815, cost =
 index:  301, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  811, cost =
 index:  302, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  820, cost =
 index:  303, (beta,j): ( 156,   1) --> ( 194,   1), goal index:  825, cost =
 index:  304, (beta,j): ( 155,   4) --> ( 194,   1), goal index:  825, cost =
 index:  305, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  824, cost =
 index:  306, (beta,j): ( 155,  13) --> ( 194,   1), goal index:  816, cost =
 index:  307, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  820, cost =
 index:  308, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  830, cost =
 index:  309, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  825, cost =
 index:  310, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  827, cost =
 index:  311, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  822, cost =
 index:  312, (beta,j): ( 155,   7) --> ( 194,   1), goal index:  822, cost =
 index:  313, (beta,j): ( 156,   9) --> ( 194,   1), goal index:  820, cost =
 index:  314, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  829, cost =
 index:  315, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  828, cost =
 index:  316, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  825, cost =
 index:  317, (beta,j): ( 155,  13) --> ( 194,   1), goal index:  831, cost =
 index:  318, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  830, cost =
 index:  319, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  830, cost =
 index:  320, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  828, cost =
 index:  321, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  831, cost =
 index:  322, (beta,j): ( 155,  10) --> ( 194,   1), goal index:  829, cost =
 index:  323, (beta,j): ( 155,   9) --> ( 194,   1), goal index:  814, cost =
 index:  324, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  814, cost =
 index:  325, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  824, cost =
 index:  326, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  820, cost =
 index:  327, (beta,j): ( 155,  13) --> ( 194,   1), goal index:  820, cost =
 index:  328, (beta,j): ( 156,  13) --> ( 194,   1), goal index:  834, cost =
 index:  329, (beta,j): ( 156,  11) --> ( 194,   1), goal index:  838, cost =
 index:  330, (beta,j): ( 156,  12) --> ( 194,   1), goal index:  843, cost =
 index:  331, (beta,j): ( 155,  10) --> ( 194,   1), goal index:  842, cost =
 index:  332, (beta,j): ( 155,  11) --> ( 194,   1), goal index:  839, cost =
 index:  333, (beta,j): ( 155,  13) --> ( 194,   1), goal index:  843, cost =
 index:  334, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  817, cost =
 index:  335, (beta,j): ( 156,  14) --> ( 194,   1), goal index:  823, cost =
